"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.902785586711863,0.0274353964764535,32.9058698855211,3.01920565301823e-171,0.848960702433867,0.956610470989859
"no2_1yr_com",-0.000297209438784916,0.000226977613838322,-1.30942181371516,0.190633878308159,-0.000742511689438689,0.000148092811868857
"SEX_ASK_COMFemale",-0.0110969288738115,0.000832063098380874,-13.3366434533694,5.11962463920522e-38,-0.0127293346610134,-0.00946452308660965
"AGE_NMBR_COM",-0.000278280824730905,0.00046354049797879,-0.60033767479716,0.548390825518921,-0.00118769045120692,0.000631128801745112
"I(AGE_NMBR_COM^2)",-9.77515654746256e-06,3.5764072582937e-06,-2.7332336172828,0.00636068602700036,-1.67916291168988e-05,-2.75868397802634e-06
"WGHTS_PROV_COMBritish Columbia",-0.00379096475214073,0.00187391602078304,-2.02301741918863,0.0432854119252707,-0.00746735824081862,-0.000114571263462841
"WGHTS_PROV_COMManitoba",-0.00601965692274343,0.00221979868875197,-2.71180308072343,0.00678424553848805,-0.0103746298003932,-0.0016646840450937
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00567665261058368,0.0029005336240491,-1.95710629365474,0.0505588930899682,-0.0113671439724589,1.38387512914956e-05
"WGHTS_PROV_COMNova Scotia",-0.00747407713454528,0.00261511965220034,-2.85802491991395,0.00433407582397772,-0.0126046212757099,-0.00234353299338068
"WGHTS_PROV_COMOntario",-0.00461801210826588,0.00188952654053726,-2.44400489180365,0.0146636909941586,-0.00832503152283521,-0.000910992693696556
"WGHTS_PROV_COMQuebec",-0.00259700619964197,0.00192567022382666,-1.34862458146195,0.177703633594973,-0.00637493508957106,0.00118092269028712
"Race7South Asian",-0.004354718765907,0.00334824747531871,-1.3005964457548,0.19363808466096,-0.0109235698137785,0.00221413228196449
"Race7Black",0.00130222287544708,0.00386602042190752,0.336838074643319,0.736295922425577,-0.00628243521411738,0.00888688096501154
"Race7Asian",-0.00170954795294055,0.00264183823195255,-0.647105463258076,0.517683362570202,-0.00689251067185266,0.00347341476597157
"Race7Arab",0.00553116617056524,0.00507112873201356,1.09071697108525,0.275609166340071,-0.00441776667586594,0.0154800990169964
"Race7Latin American",-0.008488538812589,0.00598208262861279,-1.41899390890852,0.156151893066143,-0.0202246515202307,0.00324757389505268
"Race7Other",-0.00282426138467803,0.00421103264058868,-0.670681427984184,0.502548291400411,-0.0110857911484297,0.00543726837907369
"CD4nv",0.124337710593844,0.0259378888204823,4.79367119870058,1.83549848080967e-06,0.0734507527408308,0.175224668446856
"CD8nv",0.110096338775654,0.0300911044573463,3.65876695990718,0.000264060263049521,0.0510612810317713,0.169131396519537
"Mono",-0.0467660061003004,0.0261674251274554,-1.78718409902824,0.0741517217162688,-0.098103286046199,0.00457127384559815
"Treg",-0.0191618169835675,0.0455484080249935,-0.420691256059991,0.674053385233775,-0.108522209245307,0.0701985752781715
"CD4mem",0.059837173531732,0.0240076386873519,2.49242227904972,0.0128171310132081,0.0127371297892004,0.106937217274263
"CD8mem",-0.0364379274042142,0.024007817154506,-1.51775262072817,0.129331463514857,-0.0835383212774217,0.0106624664689934
"NK",0.0654757251745637,0.0265817996821286,2.46317878990655,0.0139060648819213,0.0133254931551579,0.11762595719397
"Bmem",-0.097718281686423,0.0279750022739264,-3.4930571490069,0.000494320361158402,-0.152601806382816,-0.0428347569900303
"Bnv",0.0129188810620338,0.0291262227561424,0.443548110244036,0.657446645618273,-0.0442231970796105,0.0700609592036781
