"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.497159073811467,0.198351020814109,2.50646087814893,0.0123217451833302,0.10801868902043,0.886299458602504
"no2_1yr_com",-0.000499289352698541,0.00164099109868601,-0.304260853759863,0.76098017645658,-0.00371871270106539,0.00272013399566831
"SEX_ASK_COMFemale",-0.0224383625298572,0.00601560706757938,-3.73002463056255,0.000200104445533375,-0.0342402460766195,-0.010636478983095
"AGE_NMBR_COM",0.00197003880208531,0.00335128129246042,0.587846447422192,0.556742314136826,-0.00460476422306902,0.00854484182723965
"I(AGE_NMBR_COM^2)",6.88313378447947e-06,2.58565255704751e-05,0.266204899251396,0.790125630678472,-4.38441993472402e-05,5.76104669161991e-05
"WGHTS_PROV_COMBritish Columbia",-0.0217803276819365,0.0135479418335082,-1.60764844945429,0.108166563234131,-0.0483597285671926,0.00479907320331967
"WGHTS_PROV_COMManitoba",0.0161225900962305,0.016048586587537,1.00461121658844,0.31527993197247,-0.015362769214722,0.047607949407183
"WGHTS_PROV_COMNewfoundland and Labrador",0.00737093146363427,0.0209701290713826,0.351496714137692,0.725275405658302,-0.033769890814277,0.0485117537415455
"WGHTS_PROV_COMNova Scotia",0.027459677707492,0.0189066577918842,1.45238137854693,0.146648367616059,-0.00963286690381847,0.0645522223188024
"WGHTS_PROV_COMOntario",0.00129537328125203,0.0136608019677273,0.0948241021509761,0.924469850365699,-0.0255054453505694,0.0280961919130735
"WGHTS_PROV_COMQuebec",0.00294611508449264,0.0139221117134271,0.211614095988849,0.832442857681184,-0.0243673612315388,0.0302595914005241
"Race7South Asian",0.0404053713275657,0.0242069876860616,1.66916147732133,0.0953376026147805,-0.00708577071003475,0.0878965133651662
"Race7Black",0.0780346193411331,0.0279503559509949,2.79190073564539,0.0053203336395208,0.0231994477086665,0.1328697909736
"Race7Asian",0.0606545476931413,0.0190998264079493,3.17565963153974,0.00153175947214357,0.0231830299397891,0.0981260654464936
"Race7Arab",0.0351423255559853,0.0366629861368299,0.958523275349985,0.337985658896194,-0.0367859583233564,0.107070609435327
"Race7Latin American",0.0962029635837942,0.0432489538468327,2.22439978373811,0.0263008895824837,0.0113538185040774,0.181052108663511
"Race7Other",0.0531332606004765,0.030444707575455,1.74523800134357,0.0811909515232611,-0.00659552310901708,0.11286204430997
"CD4nv",0.000378525007513918,0.187524416850365,0.00201853717969944,0.998389765858516,-0.367521390159827,0.368278440174854
"CD8nv",-0.411794127468193,0.217551122020823,-1.89286142789361,0.0586088058020997,-0.838602756873962,0.0150145019375765
"Mono",0.727260572556185,0.189183906657305,3.84419893534376,0.000127076456023474,0.356104941842845,1.09841620326953
"Treg",-0.181198881799944,0.329303541720964,-0.550248809511693,0.582247752190223,-0.827252057691803,0.464854294091914
"CD4mem",0.196879105247591,0.173569193543803,1.134297516903,0.256888823637902,-0.143642372717503,0.537400583212686
"CD8mem",0.188183231174225,0.17357048381647,1.08418912614892,0.278491535648544,-0.152340778147654,0.528707240496104
"NK",-0.0812960655565306,0.192179730537209,-0.423021019590774,0.672353217067872,-0.458329135431047,0.295737004317986
"Bmem",0.183010382394408,0.202252235103387,0.904862101033677,0.365714075051079,-0.213783706539169,0.579804471327985
"Bnv",0.951411074020036,0.210575269837936,4.51815198789613,6.83283513448716e-06,0.538288211350189,1.36453393668988
