"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",30.2530118980743,7.24571730156703,4.17529564554381,3.1837886172152e-05,16.0378028850521,44.4682209110965
"no2_1yr_com",-0.0396089038577808,0.0599450284987944,-0.660753774745096,0.5088928663037,-0.157213700448126,0.0779958927325641
"SEX_ASK_COMFemale",-2.21263213623016,0.219748746591217,-10.0689181192289,5.6205692796886e-23,-2.64375223561193,-1.78151203684839
"AGE_NMBR_COM",0.215931775146388,0.122421537048481,1.76383813136471,0.0780052551265036,-0.0242442715320038,0.456107821824779
"I(AGE_NMBR_COM^2)",-0.00194536067751694,0.000944532949290853,-2.0596006512822,0.0396449308992614,-0.0037984185232808,-9.23028317530753e-05
"WGHTS_PROV_COMBritish Columbia",-0.0568754653643031,0.494903208164845,-0.114922401847431,0.908525219474206,-1.02781488412371,0.914063953395107
"WGHTS_PROV_COMManitoba",0.324893476238456,0.586251187544897,0.554188175889323,0.579549916404168,-0.825259478705128,1.47504643118204
"WGHTS_PROV_COMNewfoundland and Labrador",0.261999155452401,0.766034005799292,0.342020267336601,0.732393550130806,-1.24086564734146,1.76486395824626
"WGHTS_PROV_COMNova Scotia",0.434854149926597,0.69065587318479,0.629624921484232,0.529055909101683,-0.920127998116887,1.78983629797008
"WGHTS_PROV_COMOntario",-0.0713435646008634,0.499025962985124,-0.142965636846013,0.886340528538836,-1.05037132286353,0.907684193661805
"WGHTS_PROV_COMQuebec",0.265623208617168,0.508571548068143,0.522292703211893,0.601559764352403,-0.732131817279495,1.26337823451383
"Race7South Asian",0.725836978205401,0.884275708669508,0.820826548879765,0.411902716065819,-1.00900354906121,2.46067750547201
"Race7Black",0.158194944504628,1.02102009290327,0.154938130605051,0.876895287574555,-1.8449212996216,2.16131118863085
"Race7Asian",0.277358867874508,0.697712278429381,0.397526138566559,0.69104787937586,-1.09146708213607,1.64618481788509
"Race7Arab",-0.285242267676108,1.33929047548337,-0.212980136047902,0.831377436253978,-2.91276598213687,2.34228144678465
"Race7Latin American",1.75328347626371,1.57987436553883,1.1097613294496,0.26731687985982,-1.3462363346449,4.85280328717232
"Race7Other",1.46690273144107,1.11213818570341,1.31899322431166,0.187414704135063,-0.714976039583881,3.64878150246602
"CD4nv",-51.4275313285502,6.85022394168749,-7.50742337277247,1.14731499441454e-13,-64.8668308573955,-37.9882317997048
"CD8nv",-47.1706626702903,7.94709259539882,-5.93558739929632,3.79449140745958e-09,-62.7618840204529,-31.5794413201276
"Mono",-27.4676678191057,6.91084472375639,-3.97457458777566,7.45692564399911e-05,-41.0258978901978,-13.9094377480135
"Treg",-23.6062894104713,12.029382858337,-1.96238574235011,0.0499407589132526,-47.206463763388,-0.00611505755470176
"CD4mem",-34.0306017324311,6.34044283471575,-5.3672279081366,9.53375712891029e-08,-46.4697732291042,-21.5914302357581
"CD8mem",-36.8001404308727,6.34048996808038,-5.80399000962605,8.21368457017486e-09,-49.2394043974285,-24.3608764643169
"NK",-48.6593991777804,7.02028148304292,-6.93126041958777,6.68784437810167e-12,-62.4323307535295,-34.8864676020312
"Bmem",-32.787178760914,7.38822776487054,-4.43775960952504,9.89688114476474e-06,-47.2819758310032,-18.2923816908248
"Bnv",-45.1241289034836,7.69226631496294,-5.86616831189378,5.71361879346839e-09,-60.2154123334042,-30.0328454735629
