"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",35.914573390624,9.8448102948408,3.64807165552445,0.00027517391041803,16.6002625763657,55.2288842048823
"no2_1yr_com",0.0631606362304419,0.0814477586038066,0.775474209642522,0.438207243063457,-0.0966298805683421,0.222951153029226
"SEX_ASK_COMFemale",-0.462419391586,0.298574265690949,-1.54875836507841,0.121694781331624,-1.04818549534891,0.123346712176913
"AGE_NMBR_COM",0.320534529124639,0.166335058087964,1.92704131533792,0.0542025561894346,-0.0057944619888049,0.646863520238083
"I(AGE_NMBR_COM^2)",-0.00385294860645086,0.00128334398320838,-3.0022727007442,0.00273331914357956,-0.00637071216216759,-0.00133518505073413
"WGHTS_PROV_COMBritish Columbia",0.0319870308675462,0.672428690757407,0.0475694022387963,0.962067071781287,-1.28723561992537,1.35120968166047
"WGHTS_PROV_COMManitoba",0.712392516165401,0.79654387361434,0.894354397495897,0.371305719430019,-0.850328906739317,2.27511393907012
"WGHTS_PROV_COMNewfoundland and Labrador",0.353262643348706,1.04081613353312,0.339409269290949,0.734358864379818,-1.68869100547762,2.39521629217504
"WGHTS_PROV_COMNova Scotia",0.633764528407859,0.938399300929307,0.675367647631701,0.499568030784071,-1.20725985126247,2.47478890807819
"WGHTS_PROV_COMOntario",-0.137494787740087,0.678030308569491,-0.202785607077321,0.839335848973115,-1.46770712591601,1.19271755043584
"WGHTS_PROV_COMQuebec",-0.458371767715396,0.69099996642176,-0.663345571619932,0.507232454422711,-1.81402898450362,0.897285449072825
"Race7South Asian",1.16881826646668,1.20147201965835,0.972821877948554,0.33083141162063,-1.18832253435475,3.52595906728811
"Race7Black",0.779828721925275,1.38726763735035,0.562132858094152,0.574127016827611,-1.9418203020674,3.50147774591795
"Race7Asian",0.536462639729393,0.9479868915163,0.565896685418639,0.571566320974034,-1.3233714172238,2.39629669668259
"Race7Arab",1.06826619327622,1.81970398679085,0.58705492818102,0.557273598381702,-2.50176993116205,4.63830231771448
"Race7Latin American",-0.495385774840938,2.14658711775134,-0.230778322828976,0.817525061462196,-4.70672652600394,3.71595497632207
"Race7Other",0.135195738796653,1.51107047159163,0.0894701745142628,0.928722692457742,-2.82933926761818,3.09973074521148
"CD4nv",-80.9885129168101,9.30745050852382,-8.70147123991047,1.02373239845231e-17,-99.2485897111962,-62.7284361224241
"CD8nv",-119.912705239569,10.7977741527833,-11.1053170350539,2.19641501611363e-27,-141.096614308727,-98.7287961704104
"Mono",-20.0851021070131,9.38981641855791,-2.13903032942339,0.0326279087753716,-38.5067707187378,-1.66343349528836
"Treg",-44.6104295114734,16.3444124681383,-2.72939939556938,0.0064346706919027,-76.6761629315978,-12.544696091349
"CD4mem",-30.7071128351965,8.61480710537238,-3.564457388262,0.000378455412808645,-47.6083081914178,-13.8059174789752
"CD8mem",-57.4892192889246,8.61487114582746,-6.67325353052657,3.76111905621651e-11,-74.3905402846673,-40.5878982931819
"NK",-39.0378139445371,9.53850896197594,-4.09265369463471,4.54006739095319e-05,-57.7511990965839,-20.3244287924903
"Bmem",-25.7580423452625,10.0384403272945,-2.56594067459128,0.0104061995904504,-45.4522315439469,-6.06385314657803
"Bnv",-52.395661087544,10.4515397794814,-5.0132001784472,6.1295351758723e-07,-72.9003007649866,-31.8910214101015
