"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.898778829237406,0.0257169584164174,34.9488774949232,1.24169579868831e-194,0.848332408196746,0.949225250278066
"O3CHGYY_01_COM",-7.19039138027477e-05,0.000122967088734768,-0.584741124983773,0.558812768640099,-0.000313116324384638,0.000169308496779143
"SEX_ASK_COMFemale",-0.0111522442341398,0.000788134984396036,-14.150170281663,1.1210327526891e-42,-0.012698250904755,-0.00960623756352451
"AGE_NMBR_COM",-0.000418403762424408,0.000430156309370907,-0.972678427142713,0.330875379894073,-0.00126219897119094,0.000425391446342121
"I(AGE_NMBR_COM^2)",-8.77798977930197e-06,3.31928451169051e-06,-2.64454274660275,0.00826843906250184,-1.52891028479293e-05,-2.26687671067468e-06
"WGHTS_PROV_COMBritish Columbia",-0.00213360314050456,0.00139692224058328,-1.52735999078494,0.126889613739432,-0.00487380773112749,0.000606601450118377
"WGHTS_PROV_COMManitoba",-0.00375448819358032,0.00161165381421342,-2.32958726028438,0.019964691053652,-0.00691591053471119,-0.000593065852449448
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00210252653996531,0.00185429545290357,-1.1338681420337,0.257037287886049,-0.00573991505365665,0.00153486197372604
"WGHTS_PROV_COMNova Scotia",-0.0032118005998796,0.00160480654983168,-2.0013630927768,0.0455393341264264,-0.0063597913377709,-6.38098619883008e-05
"WGHTS_PROV_COMOntario",-0.00240504822263807,0.00147639652065643,-1.6289988421056,0.103530482030073,-0.00530114967048477,0.000491053225208618
"WGHTS_PROV_COMQuebec",-0.00197678168534899,0.00155214381250317,-1.27358152603205,0.203015879546918,-0.00502146912518261,0.00106790575448463
"Race7South Asian",-0.00495687602812189,0.00338216583673637,-1.465592246921,0.142976208119224,-0.0115913371905437,0.00167758513429993
"Race7Black",-0.000894465952557255,0.00374390808218584,-0.238912369887839,0.811207295217744,-0.00823852120175445,0.00644958929663994
"Race7Asian",-0.00247893806120255,0.00266190264564605,-0.931265486082757,0.35187127358046,-0.00770052995621382,0.00274265383380872
"Race7Arab",0.0031167172339329,0.00453788099609428,0.686822161404285,0.492304625656305,-0.00578479637644961,0.0120182308443154
"Race7Latin American",-0.00710013389737205,0.00551799934818063,-1.28672249657171,0.19839641391199,-0.017924249016783,0.00372398122203889
"Race7Other",-0.00320485389558439,0.00425828798558263,-0.752615583172186,0.451803113053276,-0.0115579174715611,0.00514820968039235
"CD4nv",0.125615640348746,0.0243235458133668,5.16436383546164,2.74789844064616e-07,0.0779025393888924,0.173328741308599
"CD8nv",0.123017798926515,0.028372433108831,4.33582126899881,1.55238319505442e-05,0.0673623950727561,0.178673202780274
"Mono",-0.0424832995955897,0.024591659794184,-1.72754909392643,0.0842820309653291,-0.0907223333093943,0.00575573411821497
"Treg",-0.00923618617847319,0.0421675924931584,-0.219035179207154,0.826653470276843,-0.0919521936758004,0.073479821318854
"CD4mem",0.0649689028877382,0.0225573609212967,2.88016417853208,0.00403308932313696,0.020720352644121,0.109217453131355
"CD8mem",-0.0275236289514214,0.0225329409547198,-1.22148409329836,0.222101340509668,-0.0717242769549761,0.0166770190521333
"NK",0.0780343164181064,0.02504581308362,3.11566313130161,0.00187130809436909,0.0289044149863969,0.127164217849816
"Bmem",-0.0995178484039208,0.0264488399953332,-3.7626545595754,0.00017482030621252,-0.151399929357548,-0.0476357674502939
"Bnv",0.0275357319939262,0.0273170217009443,1.00800637402482,0.313619580137157,-0.0260493753888718,0.0811208393767242
