"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.419640483464138,0.183538098989065,2.28639440952878,0.022374823806048,0.05961189576405,0.779669071164225
"O3CHGYY_01_COM",0.000487730519313908,0.000877597783499586,0.555756325373785,0.578463183844535,-0.00123376650120884,0.00220922753983665
"SEX_ASK_COMFemale",-0.0218749207447843,0.00562480190855229,-3.88901175551167,0.00010520654901054,-0.0329085399136823,-0.0108413015758863
"AGE_NMBR_COM",0.00322279310038607,0.00306996146323771,1.04978291714033,0.293992863523382,-0.00279924753309037,0.00924483373386251
"I(AGE_NMBR_COM^2)",-1.2920607573302e-06,2.36892388055737e-05,-0.0545420968539604,0.956510783686392,-4.77609042172866e-05,4.51767827026262e-05
"WGHTS_PROV_COMBritish Columbia",-0.0181896032106559,0.00996962581346809,-1.82450209777015,0.0682818936087174,-0.0377460349340504,0.00136682851273852
"WGHTS_PROV_COMManitoba",0.0180026826107208,0.0115021330477547,1.56516035208227,0.117763516282456,-0.00455991741363895,0.0405652826350806
"WGHTS_PROV_COMNewfoundland and Labrador",0.010138202022561,0.0132338302562531,0.766082217033924,0.443752073323349,-0.0158212976304532,0.0360977016755753
"WGHTS_PROV_COMNova Scotia",0.0109082451976404,0.0114532651424779,0.952413574814044,0.341046009599508,-0.0115584954764397,0.0333749858717205
"WGHTS_PROV_COMOntario",0.00202640142177085,0.0105368219043495,0.192316187951737,0.847521468578434,-0.0186426429344983,0.02269544577804
"WGHTS_PROV_COMQuebec",0.0115197789990408,0.0110774190357833,1.03993348647628,0.298544173086277,-0.0102097014346252,0.0332492594327069
"Race7South Asian",0.0418348872448569,0.0241380134496803,1.73315369684704,0.0832809491767799,-0.00551427317492,0.0891840476646339
"Race7Black",0.061750801462747,0.0267197139361362,2.31105773101987,0.0209693501310741,0.00933737381386059,0.114164229111633
"Race7Asian",0.064040378723472,0.0189976024133533,3.37097162737011,0.000768729385841328,0.0267746556706529,0.101306101776291
"Race7Arab",0.0185532636854959,0.0323861802774488,0.572875946670839,0.566817513154466,-0.0449755121409608,0.0820820395119527
"Race7Latin American",0.104730072778403,0.039381138865218,2.65939675175067,0.00791428729502658,0.0274799765544561,0.181980169002349
"Race7Other",0.0549109207164605,0.0303907666360293,1.80682907325417,0.0709961558797646,-0.00470364896339911,0.11452549039632
"CD4nv",0.0322073965346473,0.17359352093554,0.185533402174652,0.852836632783883,-0.308313893162441,0.372728686231735
"CD8nv",-0.409956691562493,0.202489826058313,-2.02457920747304,0.043093576150788,-0.807161013177235,-0.0127523699477502
"Mono",0.750639521069445,0.175507010453031,4.27697742176703,2.01840115940717e-05,0.406364727700062,1.09491431443883
"Treg",-0.065924995585953,0.30094382235339,-0.219060803675641,0.826633513340501,-0.656256811899539,0.524406820727633
"CD4mem",0.209764010532999,0.160988522618678,1.3029749395853,0.192790193255894,-0.106031297109256,0.525559318175253
"CD8mem",0.193929433669652,0.160814240957125,1.20592201608163,0.228044296510723,-0.121524002825322,0.509382870164627
"NK",-0.0862627283925216,0.178748234786135,-0.482593456073741,0.629457271779132,-0.436895511876731,0.264370055091688
"Bmem",0.165083872705957,0.188761428727529,0.874563589705872,0.381956236328797,-0.205190805801377,0.535358551213291
"Bnv",0.944997547369937,0.194957512154067,4.84719740690547,1.38673934402532e-06,0.562568623081397,1.32742647165848
