"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",25.5792280331018,6.78276334141592,3.77121045590869,0.000168989339015153,12.2741501230413,38.8843059431623
"O3CHGYY_01_COM",0.0382659477431032,0.0324321658947961,1.17987641859106,0.238242903684302,-0.0253530335336622,0.101884929019869
"SEX_ASK_COMFemale",-2.20847979799303,0.207868014315262,-10.6244330339518,1.92345105544598e-25,-2.61623398109811,-1.80072561488795
"AGE_NMBR_COM",0.241904300439482,0.113452314190358,2.13221124809847,0.0331571235501481,0.0193560847052943,0.464452516173671
"I(AGE_NMBR_COM^2)",-0.00212887958221505,0.000875450391180451,-2.43175353356629,0.0151463370103189,-0.00384616427500773,-0.000411594889422379
"WGHTS_PROV_COMBritish Columbia",0.252249214887193,0.368433654198708,0.684653022362465,0.493672317363327,-0.470470748504422,0.974969178278807
"WGHTS_PROV_COMManitoba",0.480214284541855,0.425068401678537,1.12973413842467,0.258775117670717,-0.353600477489518,1.31402904657323
"WGHTS_PROV_COMNewfoundland and Labrador",0.451507147078063,0.489064337176026,0.923206033965128,0.356053439910857,-0.50784213014451,1.41085642430064
"WGHTS_PROV_COMNova Scotia",0.241269034068228,0.423262458180654,0.570022286184548,0.568750888387691,-0.589003186711,1.07154125484746
"WGHTS_PROV_COMOntario",-0.0146971666599775,0.389394734616424,-0.0377436194006449,0.969897293000308,-0.778534414261385,0.74914008094143
"WGHTS_PROV_COMQuebec",0.688649796373892,0.409372834126885,1.6822068758975,0.0927440417279076,-0.114376518736117,1.4916761114839
"Race7South Asian",0.774285374654871,0.892035134192224,0.867998742399334,0.385538651636274,-0.97553197286609,2.52410272217583
"Race7Black",0.133060656103326,0.987443463658971,0.134752683065286,0.892826119770392,-1.80390980187229,2.07003111407894
"Race7Asian",0.44737992945196,0.70206808250621,0.637231545771065,0.524074629648861,-0.929797787906219,1.82455764681014
"Race7Arab",-0.762335760355674,1.19685121271445,-0.636951153374113,0.524257206654975,-3.11008074722292,1.58540922651157
"Race7Latin American",2.6412894448501,1.45535420988601,1.81487738648654,0.0697492914946811,-0.213535377215078,5.49611426691527
"Race7Other",1.5033765570742,1.12310947422784,1.33858416438683,0.18091592035004,-0.699716534038878,3.70646964818728
"CD4nv",-48.835745313085,6.41525534259266,-7.61243983366508,4.8204958062363e-14,-61.419919026613,-36.2515715995571
"CD8nv",-42.9207843539182,7.48313607236306,-5.73566803260928,1.18030072376306e-08,-57.5997143773842,-28.2418543304522
"Mono",-24.6558988502129,6.48596952468844,-3.80142070608901,0.000149832444277516,-37.37878560071,-11.9330120997159
"Treg",-21.9925159089087,11.1215640639592,-1.97746609941116,0.0481780878291888,-43.80859129063,-0.176440527187353
"CD4mem",-31.3031401041173,5.9494298765279,-5.26153610577319,1.6429176203279e-07,-42.9735499419934,-19.6327302662413
"CD8mem",-34.5976114525386,5.94298919052551,-5.82158411253636,7.16566100689784e-09,-46.2553872318839,-22.9398356731934
"NK",-46.8262187624819,6.60575096357755,-7.08870483018054,2.10706453432309e-12,-59.7840689484371,-33.8683685765267
"Bmem",-31.1617326101624,6.97579470474227,-4.46712294858363,8.54313501743448e-06,-44.8454611083187,-17.478004112006
"Bnv",-44.3625867512147,7.20477477894682,-6.15738702628808,9.55657839256913e-10,-58.4954828782253,-30.2296906242041
