"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.89086087945608,0.0258837407063569,34.4177794686874,5.56642255252659e-189,0.840086125624731,0.941635633287429
"PM25DALYY_01_COM",8.2703738482117e-05,0.000231593907276282,0.357106710857703,0.721065320950152,-0.000371601679123364,0.000537009156087598
"SEX_ASK_COMFemale",-0.0110077877211162,0.000800808966729742,-13.745834747666,1.92016840448628e-40,-0.0125786919660985,-0.00943688347613377
"AGE_NMBR_COM",-0.000306983393037271,0.000439125243412806,-0.699079357523264,0.484617653250129,-0.00116839196563746,0.000554425179562921
"I(AGE_NMBR_COM^2)",-9.67562794975707e-06,3.39029166084496e-06,-2.85392199777456,0.00438139349617274,-1.63261823054341e-05,-3.02507359408001e-06
"WGHTS_PROV_COMBritish Columbia",-0.00161586771162725,0.00146246916536419,-1.1048901063325,0.269395578030842,-0.00448471548365998,0.00125298006040548
"WGHTS_PROV_COMManitoba",-0.00388140546403488,0.00162103500556465,-2.39439953530362,0.0167774430666352,-0.0070613033888866,-0.000701507539183167
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00273227681608436,0.00177847279663161,-1.53630509348202,0.124687766415507,-0.0062210120599258,0.000756458427757077
"WGHTS_PROV_COMNova Scotia",-0.00316159972606858,0.00170865130049429,-1.85034812261225,0.0644723144190385,-0.00651336986433553,0.000190170412198362
"WGHTS_PROV_COMOntario",-0.00274305709978483,0.00136388293057042,-2.01121154778116,0.044492992165176,-0.00541851351236912,-6.76006872005405e-05
"WGHTS_PROV_COMQuebec",-0.00236243702627913,0.00138297674095721,-1.70822614460168,0.0878143343421279,-0.00507534874847614,0.000350474695917879
"Race7South Asian",-0.00407404487108099,0.00350514545401716,-1.16230408253439,0.245308521380174,-0.010949901787971,0.00280181204580907
"Race7Black",-0.000837135131216275,0.0037574191418141,-0.222795248446012,0.823727112554966,-0.0082078638883605,0.00653359362592795
"Race7Asian",-0.00241819539802378,0.0026732701703302,-0.904583242226163,0.365840636416472,-0.00766220693264205,0.00282581613659449
"Race7Arab",0.00325167448136706,0.0045478386220746,0.714993374123671,0.474731418016811,-0.00566957801919701,0.0121729269819311
"Race7Latin American",-0.00699033761769835,0.00553544516379142,-1.26283205972732,0.206858189658455,-0.01784892520467,0.0038682499692733
"Race7Other",-0.00323106410428584,0.0042753938446541,-0.755734844949062,0.449934328242328,-0.0116178762137528,0.00515574800518108
"CD4nv",0.127665112239559,0.0246235247191771,5.18468065378683,2.47840189690639e-07,0.0793624569062329,0.175967767572886
"CD8nv",0.125860788109982,0.028749906899106,4.37778071948801,1.28730675577147e-05,0.0694636289034766,0.182257947316487
"Mono",-0.0405256326217752,0.0248811505976555,-1.62876843105454,0.103585277731873,-0.0893336589023974,0.00828239365884698
"Treg",-0.0116802931548107,0.0427182190045783,-0.273426501080462,0.784565399473201,-0.0954783453250064,0.0721177590153849
"CD4mem",0.0682187570935851,0.02283747265765,2.98714127067531,0.00286459295394985,0.0234197048438632,0.113017809343307
"CD8mem",-0.0250220541649735,0.022789179868129,-1.09797958108915,0.272400732861896,-0.0697263730248204,0.0196822646948735
"NK",0.080129125316836,0.0253553373721999,3.16024686008285,0.00160984244912352,0.0303909121277328,0.129867338505939
"Bmem",-0.0963182049530342,0.0267545762592183,-3.60006467752775,0.000329155411332013,-0.148801230449045,-0.0438351794570235
"Bnv",0.0295551733712417,0.0276304829091562,1.06965822741548,0.284956121869022,-0.0246460714901375,0.0837564182326209
