"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.401494130021443,0.183242435696058,2.19105431826609,0.0286109198433676,0.0420372157571506,0.760951044285735
"PM25DALYY_01_COM",0.00217985796977574,0.00163955558599961,1.32954197368473,0.183884131565789,-0.00103637079006103,0.00539608672961252
"SEX_ASK_COMFemale",-0.0206909658307647,0.00566928046666616,-3.64966347183244,0.000272162659572796,-0.0318120909942985,-0.0095698406672309
"AGE_NMBR_COM",0.00332899797055126,0.00310876160024369,1.07084376308891,0.284422819007071,-0.00276929387850737,0.00942728981960989
"I(AGE_NMBR_COM^2)",-2.34677822523544e-06,2.40013724716647e-05,-0.0977768345541894,0.922123389512557,-4.94289906723719e-05,4.4735434221901e-05
"WGHTS_PROV_COMBritish Columbia",-0.0175161182781519,0.0103534653291399,-1.69181213451815,0.0909026015565711,-0.0378259590910518,0.00279372253474796
"WGHTS_PROV_COMManitoba",0.0225113104925253,0.0114760229650765,1.96159510668731,0.050006014488226,-5.91771723582046e-07,0.0450232127567742
"WGHTS_PROV_COMNewfoundland and Labrador",0.0183375933794132,0.0125905946428338,1.45645173239299,0.145490261104272,-0.00636070470789457,0.0430358914667209
"WGHTS_PROV_COMNova Scotia",0.0171970782422441,0.0120962974250826,1.42168116721276,0.155339816622253,-0.00653158335258115,0.0409257398370694
"WGHTS_PROV_COMOntario",0.00478181327844787,0.00965552981840143,0.495240900124893,0.620507195574366,-0.0141589246621148,0.0237225512190106
"WGHTS_PROV_COMQuebec",0.0153104653591394,0.00979070333762679,1.56377584236462,0.118094456058901,-0.00389543526563684,0.0345163659839156
"Race7South Asian",0.0354250719010084,0.0248144732150452,1.42759717661586,0.153629108860969,-0.0132521569138778,0.0841023007158946
"Race7Black",0.0593410260265334,0.0266004301035171,2.23082956913119,0.0258490881427573,0.00716038082394977,0.111521671229117
"Race7Asian",0.0643990414327784,0.0189252605657811,3.40280870685705,0.000685641504958201,0.0272743670156191,0.101523715849938
"Race7Arab",0.0187229333743387,0.0321961588054729,0.581526929577575,0.560978259980535,-0.0444345544172701,0.0818804211659475
"Race7Latin American",0.102686640003825,0.0391878618311915,2.62036853263814,0.00887776876329422,0.025813901235932,0.179559378771719
"Race7Other",0.0547124901928984,0.030267401862125,1.80763748544148,0.0708758200309171,-0.00466145795851679,0.114086438344314
"CD4nv",0.0374636209487427,0.174320809969169,0.21491192563509,0.82986704340898,-0.304492215894119,0.379419457791605
"CD8nv",-0.429602911884535,0.203533292424508,-2.11072550719867,0.034971463253391,-0.828863317734617,-0.0303425060344538
"Mono",0.754986880217247,0.176144657380032,4.28617530299749,1.94105758228418e-05,0.409453299169517,1.10052046126498
"Treg",-0.0496055507029707,0.302421144911024,-0.164028050080841,0.869732554091559,-0.642848983344867,0.543637881938926
"CD4mem",0.235827969281569,0.16167655836168,1.45864045889701,0.144886648181897,-0.0813243134678054,0.552980252030944
"CD8mem",0.199658284341022,0.161334672369281,1.2375410778659,0.216092169347304,-0.116823338888951,0.516139907570994
"NK",-0.0715724235217196,0.179501635049068,-0.398728532484704,0.690153572829702,-0.423691208643943,0.280546361600504
"Bmem",0.176436336639408,0.189407465303152,0.93151733146852,0.351745376425809,-0.195114187440188,0.547986860719005
"Bnv",0.950835221724636,0.195608395446822,4.86091212778813,1.29912219135007e-06,0.567120663661615,1.33454977978766
