"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",26.1299448328292,6.7753830180453,3.85660039635186,0.000120152867454157,12.8390372798161,39.4208523858423
"PM25DALYY_01_COM",0.0495637128826947,0.0606225137333843,0.817579308912761,0.413735477558155,-0.0693562394677085,0.168483665233098
"SEX_ASK_COMFemale",-2.1705376587599,0.209621458329111,-10.3545585268857,2.87727097195211e-24,-2.58174089499905,-1.75933442252075
"AGE_NMBR_COM",0.219847269359481,0.114946357667825,1.91260753119992,0.0560005854966338,-0.00563687068835195,0.445331409407314
"I(AGE_NMBR_COM^2)",-0.00196769920406196,0.000887449955773513,-2.21725088976639,0.026764812544082,-0.00370856245691378,-0.00022683595121014
"WGHTS_PROV_COMBritish Columbia",0.151021171089478,0.382819039173494,0.394497544885785,0.693273357471808,-0.599934523317316,0.901976865496273
"WGHTS_PROV_COMManitoba",0.669121731933219,0.424325570749605,1.57690645593468,0.11504120833659,-0.163255112031473,1.50149857589791
"WGHTS_PROV_COMNewfoundland and Labrador",0.746211354692486,0.465536821785345,1.60290511893506,0.109179417162852,-0.167007402740599,1.65943011212557
"WGHTS_PROV_COMNova Scotia",0.463520758125331,0.447260198456818,1.03635592821498,0.300213695470815,-0.413845721968787,1.34088723821945
"WGHTS_PROV_COMOntario",0.1819312895548,0.357012896676065,0.509593046213889,0.610416285990869,-0.518401871288989,0.882264450398589
"WGHTS_PROV_COMQuebec",0.93283525738956,0.36201093309252,2.57681515146713,0.0100723511537595,0.222697715039842,1.64297279973928
"Race7South Asian",0.81086355429905,0.917514328950683,0.88376118902295,0.376975694823133,-0.9889753761599,2.610702484758
"Race7Black",0.0537050761978607,0.98355002601588,0.0546032990466248,0.956462240411467,-1.87567255968257,1.9830827120783
"Race7Asian",0.47064384153888,0.699760885421557,0.672578092522776,0.50132586762628,-0.902039770971589,1.84332745404935
"Race7Arab",-0.789488577627622,1.19045191026995,-0.663183931091003,0.507321087638291,-3.12473460631199,1.54575745105675
"Race7Latin American",2.56155736844645,1.44896989911749,1.7678471926895,0.0773025351237066,-0.280809612870767,5.40392434976366
"Race7Other",1.50929207438711,1.11913618588408,1.34862235125997,0.177674710583744,-0.686057700850875,3.70464184962509
"CD4nv",-48.5731070268638,6.44550620095487,-7.53596467251369,8.62413826194396e-14,-61.21691281926,-35.9293012344676
"CD8nv",-42.9524788136924,7.52563677655551,-5.70748763048218,1.39543540308927e-08,-57.7151191557009,-28.1898384716839
"Mono",-24.01125433935,6.51294289883613,-3.68669811977637,0.000235794415564916,-36.7873471057569,-11.2351615729432
"Treg",-21.1930563325804,11.1820118617429,-1.89528115285662,0.0582593854093933,-43.1282126942642,0.742100029103341
"CD4mem",-30.0601418296034,5.97798541467053,-5.02847359845225,5.57820083488782e-07,-41.7868370272084,-18.3334466319983
"CD8mem",-34.4111515708337,5.96534419137414,-5.76851066206575,9.81388258624774e-09,-46.1130491548217,-22.7092539868458
"NK",-45.7250809851405,6.63706703746345,-6.88935048072315,8.41838989340362e-12,-58.7446614550763,-32.7055005152047
"Bmem",-30.4058956632618,7.00333478449604,-4.34163103705599,1.51518547507392e-05,-44.1439640404488,-16.6678272860748
"Bnv",-44.3009624917672,7.23261397210299,-6.12516617956399,1.17256835565193e-09,-58.4887956244223,-30.1131293591121
