"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",34.1811793506537,9.15844615919507,3.73220290391027,0.000197352345767303,16.2155439161824,52.146814785125
"PM25DALYY_01_COM",0.0989239537236219,0.0819448917623615,1.20720098100196,0.227557081665412,-0.0618229705394766,0.25967087798672
"SEX_ASK_COMFemale",-0.469524580052592,0.283350304301022,-1.65704632366932,0.0977324223234096,-1.02535776166798,0.0863086015628002
"AGE_NMBR_COM",0.435754094079688,0.155375721947018,2.80451854780941,0.00510826528009869,0.130961826117801,0.740546362041576
"I(AGE_NMBR_COM^2)",-0.00470756116933109,0.00119958718455988,-3.92431765687649,9.11641483423549e-05,-0.00706072737842968,-0.0023543949602325
"WGHTS_PROV_COMBritish Columbia",-0.112645354633182,0.517465588240165,-0.217686658191659,0.827704734379001,-1.12773000399515,0.90243929472879
"WGHTS_PROV_COMManitoba",0.406505114294344,0.573570952864172,0.708726814467205,0.478611094308023,-0.718638436897935,1.53164866548662
"WGHTS_PROV_COMNewfoundland and Labrador",0.0233330546200679,0.629277179768048,0.0370791367782771,0.970427151987541,-1.21108643122191,1.25775254046204
"WGHTS_PROV_COMNova Scotia",0.373939280657653,0.604572233895558,0.618518780209567,0.536333253017983,-0.812017830316519,1.55989639163183
"WGHTS_PROV_COMOntario",-0.487912190075841,0.482582812460589,-1.01104344679844,0.312168976908206,-1.43456915839838,0.458744778246693
"WGHTS_PROV_COMQuebec",-0.644044911318866,0.489338777001618,-1.3161534331393,0.188336319352319,-1.60395469500359,0.315864872365855
"Race7South Asian",1.11013302569039,1.24022591189378,0.895105492510844,0.370883363418775,-1.32275200766188,3.54301805904266
"Race7Black",0.696504905573112,1.32948793214352,0.523889603458187,0.600437602133191,-1.91148067279259,3.30449048393882
"Race7Asian",0.634812199885807,0.945883410041211,0.671131550830507,0.502246576677832,-1.22067684409941,2.49030124387102
"Race7Arab",1.34663409987768,1.60916212357006,0.836854211364399,0.402816228674908,-1.80997342551505,4.50324162527042
"Race7Latin American",0.633717786603423,1.95860702959792,0.323555351853056,0.746322642635938,-3.20837717595969,4.47581274916654
"Race7Other",0.180425784984309,1.512762964976,0.119269038945021,0.905079189752466,-2.7870806517099,3.14793222167852
"CD4nv",-82.0347813135221,8.71254383006579,-9.41570945450299,1.84401924877995e-20,-99.1257139277475,-64.9438486992968
"CD8nv",-120.700376051781,10.1725819851328,-11.8652645147697,5.06942250373935e-31,-140.655387654778,-100.745364448783
"Mono",-21.5432117765738,8.80369961639618,-2.44706347504762,0.0145238063181952,-38.8129598357434,-4.27346371740419
"Treg",-45.8941412451419,15.114991036595,-3.03633268018666,0.00243863432124871,-75.5444131186224,-16.2438693716614
"CD4mem",-32.519593102425,8.08058487835993,-4.02441080589519,6.01495271001803e-05,-48.3708455418099,-16.6683406630401
"CD8mem",-58.5776614419469,8.0634974365669,-7.26454766095726,6.16907365715449e-13,-74.3953943579951,-42.7599285258988
"NK",-44.4512562652864,8.9714811628633,-4.95472881883636,8.11814696569471e-07,-62.0501324368087,-26.852380093764
"Bmem",-29.331349557098,9.46657397637859,-3.0984123327285,0.00198402188673784,-47.9014228988862,-10.7612762153099
"Bnv",-55.5711718119957,9.77649610026878,-5.68416038241634,1.59499605662368e-08,-74.7492028568816,-36.3931407671097
