"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.888178796345523,0.0277233014093133,32.0372665301381,4.34626546967695e-161,0.833784322518931,0.942573270172116
"so2_1yr_com",-0.0012487298080294,0.000613973243086583,-2.03385053353751,0.0421980441176786,-0.00245337535179866,-4.40842642601457e-05
"SEX_ASK_COMFemale",-0.0105202478548458,0.000845442248367921,-12.4434849040896,2.0231994714839e-33,-0.0121790469124247,-0.00886144879726691
"AGE_NMBR_COM",-0.00025680555338588,0.000473423256242199,-0.542443891380148,0.587618864025301,-0.00118568514605645,0.000672074039284693
"I(AGE_NMBR_COM^2)",-1.03135393816383e-05,3.65422867014078e-06,-2.82235741455143,0.00485011800603692,-1.74833148286412e-05,-3.14376393463532e-06
"WGHTS_PROV_COMBritish Columbia",0.00172195589231905,0.0021194258294111,0.812463389104542,0.416695561061571,-0.00243646128546257,0.00588037307010067
"WGHTS_PROV_COMManitoba",-0.000786814701895794,0.00229070344851825,-0.343481694413455,0.731299500114798,-0.00528128694873479,0.0037076575449432
"WGHTS_PROV_COMNewfoundland and Labrador",0.00091390018171803,0.0023358544143347,0.391248776511753,0.695686534251275,-0.00366916046922508,0.00549696083266114
"WGHTS_PROV_COMNova Scotia",-0.000943893530295049,0.00239442425583277,-0.394204798082771,0.693503635919746,-0.00564187107599601,0.00375408401540592
"WGHTS_PROV_COMOntario",0.00179082736299755,0.00214888263935023,0.833376067265846,0.404807390052529,-0.00242538551716427,0.00600704024315936
"WGHTS_PROV_COMQuebec",0.0041949991724719,0.00233346809914854,1.79775295578398,0.0724809272119559,-0.000383379411316955,0.00877337775626076
"Race7South Asian",-0.00305944907780463,0.00361808207370525,-0.845599689415411,0.397953698677153,-0.0101583031339997,0.00403940497839049
"Race7Black",-0.00834171823811851,0.00393165590834575,-2.12168064362181,0.0340800075894338,-0.0160558195005979,-0.000627616975639123
"Race7Asian",-0.0015092748597163,0.00266984639616727,-0.565304004710894,0.571978335753924,-0.00674764412076528,0.00372909440133267
"Race7Arab",0.00505677328752903,0.00493350095023033,1.02498678697791,0.305587054743716,-0.00462299696597409,0.0147365435410322
"Race7Latin American",-0.00847453455661087,0.0058206790592687,-1.45593571992537,0.145685963023832,-0.0198949916684043,0.00294592255518259
"Race7Other",-0.00230799648044327,0.00432650919701949,-0.533454657171014,0.593822968433028,-0.0107968192149077,0.00618082625402113
"CD4nv",0.131617835850239,0.0264342495958562,4.97906457956996,7.37567492532924e-07,0.0797525447531126,0.183483126947365
"CD8nv",0.109089108189579,0.0305194266094967,3.57441539074113,0.000365704949182718,0.0492084999098168,0.168969716469342
"Mono",-0.0345094102851304,0.0266639246288397,-1.29423596734162,0.195846269304526,-0.0868253350346416,0.0178065144643808
"Treg",-0.0187604382463306,0.0464235901228434,-0.404114334903609,0.686204508722697,-0.109845793507272,0.0723249170146108
"CD4mem",0.0719398384061823,0.0244243385645675,2.94541603310992,0.0032907590050057,0.0240180910945186,0.119861585717846
"CD8mem",-0.0311706745130918,0.0244420934188383,-1.27528661227797,0.202467865060396,-0.0791272577175542,0.0167859086913706
"NK",0.0735397715143584,0.0269656673461245,2.72716304664077,0.00648627081126585,0.0206318127896945,0.126447730239022
"Bmem",-0.0931391708843536,0.0283759837353602,-3.28232394524141,0.00106080301660044,-0.148814239369463,-0.0374641023992438
"Bnv",0.0171153109034354,0.0301817197052972,0.567075404269676,0.570774689530422,-0.0421026999067713,0.0763333217136421
