"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.936923258190893,0.0262936967857194,35.6329985025063,1.4190127790673e-197,0.885343189012276,0.988503327369509
"ENV_HMPRB_CON_MCQYes",-0.00379578777849057,0.00181964928599972,-2.08599965262271,0.0371624648191886,-0.00736537469574983,-0.000226200861231305
"SEX_ASK_COMFemale",-0.0115800238504896,0.000785029329991858,-14.7510715944967,7.88061184244247e-46,-0.0131200076526234,-0.0100400400483559
"AGE_NMBR_COM",-0.000567870002011746,0.000426480218413447,-1.33152717873829,0.183236144575214,-0.0014044917729384,0.000268751768914913
"I(AGE_NMBR_COM^2)",-7.5217386808636e-06,3.29050593067926e-06,-2.28589123962189,0.0224120674588488,-1.39766896495408e-05,-1.06678771218638e-06
"WGHTS_PROV_COMBritish Columbia",-0.00213980541877173,0.00134648209792581,-1.58918222683242,0.112248981684666,-0.00478118522644118,0.000501574388897713
"WGHTS_PROV_COMManitoba",-0.00482538588290779,0.00155293149563715,-3.10727543131449,0.00192684652521701,-0.00787175530853077,-0.00177901645728481
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00172077447983626,0.00171087358820932,-1.0057870386773,0.314694856734528,-0.00507697725173531,0.00163542829206279
"WGHTS_PROV_COMNova Scotia",-0.00404255484635045,0.0015678502066714,-2.57840629745677,0.0100288685114017,-0.00711819015092053,-0.000966919541780373
"WGHTS_PROV_COMOntario",-0.00308174595052795,0.00134527209641547,-2.2907974964614,0.0221257480412663,-0.00572075211092679,-0.000442739790129109
"WGHTS_PROV_COMQuebec",-0.00284684317971073,0.00136029684317796,-2.0928102524004,0.0365488705425476,-0.00551532322823249,-0.000178363131188972
"Race7South Asian",-0.00617233303041048,0.00338412809881367,-1.82390643917239,0.0683830309904138,-0.0128109416242737,0.000466275563452701
"Race7Black",-0.00213674660926073,0.00378208387552602,-0.564965421070558,0.572189377283751,-0.0095560208759707,0.00528252765744925
"Race7Asian",-0.0022996862523715,0.00284326597246814,-0.808818546924481,0.418759348307518,-0.00787729128631884,0.00327791878157583
"Race7Arab",0.00388031192366751,0.00439654650532555,0.882581798911321,0.37761642254042,-0.00474434723855659,0.0125049710858916
"Race7Latin American",-0.00710578907890143,0.00535287981134461,-1.32747032052575,0.184573344932908,-0.0176064772561505,0.00339489909834763
"Race7Other",-0.00394673933478572,0.00462488360011887,-0.853370522597431,0.393602387356208,-0.0130193249807396,0.00512584631116812
"CD4nv",0.0907976525349341,0.0248628009860477,3.65194784714269,0.000270020116973903,0.0420245566372501,0.139570748432618
"CD8nv",0.084734043114764,0.0289834562816557,2.92353135151773,0.00351746210049842,0.0278775009470169,0.141590585282511
"Mono",-0.0791912566794519,0.0251218390627139,-3.15228739750142,0.00165493344441866,-0.12847250485497,-0.0299100085039339
"Treg",-0.0581536232685886,0.0426614282988154,-1.3631429042005,0.173060483133152,-0.141842099668248,0.0255348531310712
"CD4mem",0.0289140174351606,0.0230814447182619,1.25269530517229,0.210529463885157,-0.0163646105574225,0.0741926454277436
"CD8mem",-0.0604894755198096,0.0231085189683638,-2.61762666844298,0.00895147160066647,-0.105821214784824,-0.0151577362547951
"NK",0.0379127844630725,0.0256703085954414,1.47691190864005,0.139928072109941,-0.0124443906416635,0.0882699595678085
"Bmem",-0.14170225676968,0.0270486761796489,-5.23878713429586,1.86817863601073e-07,-0.194763361106063,-0.0886411524332961
"Bnv",-0.0028252389248099,0.02796657169139,-0.10102199711807,0.919547715739314,-0.0576869692583739,0.0520364914087541
