"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",26.8501107206565,7.04463376467072,3.81142748049039,0.00014426757441912,13.0307265587046,40.6694948826083
"ENV_HMPRB_CON_MCQYes",1.54369513656225,0.487522272142984,3.1664094642829,0.00157720247709688,0.587327809130795,2.5000624639937
"SEX_ASK_COMFemale",-2.10159779007266,0.210325849932257,-9.9921041124976,9.62056706371169e-23,-2.51419180368619,-1.68900377645913
"AGE_NMBR_COM",0.208184474575203,0.114263010298014,1.82197610611018,0.0686756041628397,-0.0159640741724013,0.432333023322808
"I(AGE_NMBR_COM^2)",-0.0018747215187651,0.000881595668004436,-2.1265094496309,0.0336384202703487,-0.00360413849325211,-0.000145304544278095
"WGHTS_PROV_COMBritish Columbia",0.122710175623266,0.360750841841478,0.340152153206028,0.733793865949152,-0.584970966745948,0.830391317992481
"WGHTS_PROV_COMManitoba",0.711254872281807,0.416062972717009,1.70948851236896,0.0875859659970079,-0.104931497033134,1.52744124159675
"WGHTS_PROV_COMNewfoundland and Labrador",0.520417878235,0.458378977471461,1.13534412312223,0.256428880478725,-0.378779353735919,1.41961511020592
"WGHTS_PROV_COMNova Scotia",0.339489216501813,0.420060008825463,0.808192185328627,0.419119654592838,-0.484538096620445,1.16351652962407
"WGHTS_PROV_COMOntario",0.150813978932321,0.360426657016328,0.418431811289387,0.675696728811205,-0.556231213465911,0.857859171330552
"WGHTS_PROV_COMQuebec",0.906853579826602,0.364452102324046,2.48826546490954,0.0129543485412358,0.191911713592852,1.62179544606035
"Race7South Asian",0.773930983963107,0.906679013725512,0.853588725720089,0.393481474346348,-1.0046917267149,2.55255369464111
"Race7Black",0.147279583285917,1.01329972683103,0.14534651434923,0.884458578647937,-1.84049986190052,2.13505902847236
"Race7Asian",0.37811464301839,0.761770687279963,0.496362815388074,0.619717734733703,-1.11624292367733,1.87247220971411
"Race7Arab",-0.931228593215175,1.17792717440109,-0.790565506470001,0.429333811104507,-3.24195597545149,1.37949878902113
"Race7Latin American",2.69100810194828,1.43414895838089,1.87637977646781,0.0608146609575952,-0.122346866300378,5.50436307019694
"Race7Other",2.02992657535402,1.23910347915644,1.63822199638723,0.101604016684054,-0.400809722216202,4.46066287292423
"CD4nv",-48.2221539374633,6.66126671871135,-7.23918677539339,7.48077860235643e-13,-61.289490986659,-35.1548168882677
"CD8nv",-43.2108163262859,7.76527684191986,-5.56462019396627,3.15362594987111e-08,-58.4438784537412,-27.9777541988306
"Mono",-23.7036942406009,6.73066846149745,-3.52174444131324,0.00044272875814068,-36.9071759606353,-10.5002125205666
"Treg",-21.4361135059668,11.4298929014097,-1.87544307640214,0.0609434064289173,-43.8580145175846,0.985787505650979
"CD4mem",-31.4124728535273,6.18400395063353,-5.07963337415223,4.30070921337281e-07,-43.5435685367998,-19.2813771702548
"CD8mem",-34.021423258447,6.19125771102999,-5.49507464336953,4.64763669331305e-08,-46.1667485674014,-21.8760979494926
"NK",-45.3499551689437,6.87761497193428,-6.59384908198625,6.09258343880827e-11,-58.8417003171166,-31.8582100207708
"Bmem",-30.877677378716,7.2469086054225,-4.26080678809883,2.17541282712946e-05,-45.0938619740225,-16.6614927834095
"Bnv",-44.1135369007967,7.49283209678803,-5.88743165881256,4.92188465417472e-09,-58.8121470295174,-29.4149267720761
