"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.984927471677509,0.0485458988670438,20.2885824480251,1.47993941133943e-74,0.889639463988976,1.08021547936604
"INC_TOT_COM100–150K",-0.00152364600850207,0.00114566053960331,-1.32992798113623,0.183909558808379,-0.00377239848510476,0.000725106468100608
"INC_TOT_COM50–100K",-0.00222408536845867,0.00109202130381175,-2.03666847953918,0.0420021003037991,-0.00436755241350488,-8.06183234124533e-05
"INC_TOT_COM20–50K",-0.00383991600982731,0.00127975870218585,-3.00050001868998,0.00277650251216781,-0.00635188220881216,-0.00132794981084245
"INC_TOT_COM<20K",-0.00383914516122048,0.00180088514868904,-2.13181010683286,0.0333173327198575,-0.00737400107900718,-0.000304289243433784
"INC_TOT_COMDon't know/No answer/Refused",-0.00408068910738886,0.00211951034581154,-1.925298036621,0.0545355576091203,-0.00824095645933855,7.95782445608345e-05
"SEX_ASK_COMFemale",-0.0115026155036863,0.000867162954407543,-13.2646527912912,1.53330152885229e-36,-0.0132047207730336,-0.00980051023433901
"AGE_NMBR_COM",-0.00127235675091466,0.00154686481089609,-0.822539075135845,0.411007827798523,-0.0043086104702551,0.00176389696842579
"I(AGE_NMBR_COM^2)",-8.7574629407731e-07,1.39836162495692e-05,-0.0626265966147556,0.950079019305537,-2.83233981822784e-05,2.65719055941237e-05
"WGHTS_PROV_COMBritish Columbia",-0.000331959700724868,0.00147577910835386,-0.22493860961018,0.822082734753145,-0.00322868330262036,0.00256476390117063
"WGHTS_PROV_COMManitoba",-0.000507290465014917,0.00169404536603408,-0.299455064891522,0.764668277084049,-0.00383243659745088,0.00281785566742104
"WGHTS_PROV_COMNewfoundland and Labrador",0.000732011856384119,0.00182198060411706,0.401767096054712,0.687959494726847,-0.00284425114142233,0.00430827485419056
"WGHTS_PROV_COMNova Scotia",-0.00124351175919018,0.00169288008649308,-0.734553952823794,0.46281991781443,-0.0045663706301179,0.00207934711173753
"WGHTS_PROV_COMOntario",-0.000758968838020649,0.00147790904419705,-0.513542319130334,0.607709516907204,-0.00365987317088908,0.00214193549484778
"WGHTS_PROV_COMQuebec",-0.00072449534287222,0.001529022185783,-0.47382918940526,0.635747083620258,-0.00372572677941147,0.00227673609366703
"Race7South Asian",-0.00127482376873173,0.00374080321057818,-0.340788781705171,0.733349360045187,-0.00861743547043502,0.00606778793297155
"Race7Black",-0.012369856195444,0.00392981060096431,-3.14769780314824,0.0017047774126405,-0.0200834598467995,-0.00465625254408855
"Race7Asian",-0.00197618819868132,0.00286213483051885,-0.690459505125087,0.490099465948378,-0.00759411127974393,0.00364173488238128
"Race7Arab",0.00565157879860164,0.00379651441754572,1.48862303076809,0.136968801948191,-0.00180038529005402,0.0131035428872573
"Race7Latin American",-0.00930016045574063,0.00498571817519761,-1.86536024077855,0.0624856986310608,-0.0190863455485786,0.000486024637097368
"Race7Other",-0.00829988988635452,0.00421384221825726,-1.96967267791701,0.0492100687806147,-0.0165710031845397,-2.87765881693235e-05
"CD4nv",0.054498553022681,0.0265522208285643,2.05250451081111,0.0404356532244991,0.00238069587084966,0.106616410174512
"CD8nv",0.02669927523655,0.0296275663371579,0.901163292749588,0.36776449786371,-0.031455004214729,0.0848535546878291
"Mono",-0.105693885564049,0.0266382560574145,-3.96774793876308,7.88667493619543e-05,-0.157980616415606,-0.053407154712493
"Treg",-0.0985224525464296,0.0472811553428385,-2.08375729890772,0.037489491760974,-0.191327966482224,-0.00571693861063545
"CD4mem",0.0033022191737105,0.0247125071232262,0.133625421218671,0.893731369213551,-0.0452045676757856,0.0518090060232066
"CD8mem",-0.0915630178009487,0.0248511949055283,-3.6844513170906,0.000244151429094814,-0.140342027078595,-0.0427840085233028
"NK",-0.00858181474456736,0.0274681460982071,-0.312427883333834,0.754794313283339,-0.0624974899649213,0.0453338604757866
"Bmem",-0.149425588745405,0.0302625848370311,-4.9376346914874,9.57163830090249e-07,-0.208826310205391,-0.0900248672854203
"Bnv",-0.0255396478969723,0.0304529829222741,-0.838658333147782,0.401903989752258,-0.0853140910231318,0.0342347952291871
