"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",1.02875564968181,0.0912376539684178,11.2755600887975,2.30112761877637e-23,0.848896600336514,1.20861469902711
"income_trend",-0.00109340497048617,0.000459252133534404,-2.38083808576201,0.0181670750719149,-0.00199874008767244,-0.000188069853299904
"SEX_ASK_COMFemale",-0.0119075828307674,0.00161724728174201,-7.36287082699017,4.02410709308954e-12,-0.0150957024940708,-0.008719463167464
"AGE_NMBR_COM",-0.00302971419604897,0.00306508717564581,-0.988459388731942,0.324065236439639,-0.00907199653885172,0.00301256814675379
"I(AGE_NMBR_COM^2)",1.35554022633946e-05,2.80071983307678e-05,0.483997081868168,0.628892280346047,-4.16558821953311e-05,6.87666867221203e-05
"WGHTS_PROV_COMBritish Columbia",-0.00212143317011184,0.00231185409507819,-0.917632810231517,0.35986381313781,-0.00667884846610061,0.00243598212587692
"WGHTS_PROV_COMManitoba",-0.00173593741934734,0.00320828704546647,-0.541079209792136,0.589026488849719,-0.00806051321591678,0.0045886383772221
"WGHTS_PROV_COMNewfoundland and Labrador",-0.000925018205190657,0.00296616398277209,-0.31185673164508,0.75545880979174,-0.00677229080525465,0.00492225439487334
"WGHTS_PROV_COMNova Scotia",-0.000921942387589718,0.00288666848283422,-0.319379379056554,0.749756328003777,-0.00661250353767492,0.00476861876249548
"WGHTS_PROV_COMOntario",-0.00369366019416627,0.0022962486751237,-1.60856279817659,0.109214289608028,-0.00822031213888977,0.000832991750557222
"WGHTS_PROV_COMQuebec",-0.00471906173189815,0.00269056175607801,-1.75393176582464,0.0809009559547162,-0.010023032829407,0.000584909365610746
"Race7South Asian",7.11138066090666e-05,0.00648956707030148,0.0109581742262143,0.991267220104272,-0.0127219306564917,0.0128641582697098
"Race7Black",0.0214729880829785,0.0110670807024219,1.94025765785546,0.0536873384399882,-0.00034382249453066,0.0432897986604877
"Race7Asian",-0.00264570489535305,0.00639696618702235,-0.413587444110685,0.679598318449745,-0.0152562029413694,0.00996479315066335
"Race7Latin American",-0.00534432639573581,0.0108932021113638,-0.490611148227996,0.624213746454235,-0.0268183657956778,0.0161297130042062
"CD4nv",0.0688103534153938,0.0474947444666472,1.44879931849545,0.148885171660788,-0.0248172139004642,0.162437920731252
"CD8nv",0.0614922336981386,0.0526475018754052,1.1679990789243,0.244131474064376,-0.0422930920511723,0.165277559447449
"Mono",-0.0830954762761234,0.0480854403899761,-1.72807975974045,0.0854439214799024,-0.177887497110907,0.0116965445586607
"Treg",-0.0621141940200507,0.0934152268672535,-0.664925795323682,0.506827500735106,-0.246265946809918,0.122037558769816
"CD4mem",0.00869275394953121,0.044919303243607,0.193519340725045,0.846739308599996,-0.0798577822298069,0.0972432901288693
"CD8mem",-0.0909283293391637,0.043819164604208,-2.07508130655763,0.0391974074673,-0.17731013494265,-0.00454652373567792
"NK",-0.0159312752720774,0.0488888456328864,-0.325867282523047,0.744849251918067,-0.112307068781232,0.0804445182370774
"Bmem",-0.147948326713538,0.053461401582391,-2.76738585847829,0.00615536302328401,-0.253338113134443,-0.0425585402926322
"Bnv",-0.00607316929711489,0.0568175788354963,-0.106888913987316,0.914979151373957,-0.118079071147586,0.105932732553356
