"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.598900672135638,0.402465445162136,1.48807973289326,0.137111983304015,-0.191076057680623,1.3888774019519
"INC_TOT_COM100–150K",0.0155780376620737,0.00949799653187916,1.64013932936145,0.101357397590706,-0.00306504419812768,0.0342211195222751
"INC_TOT_COM50–100K",0.0312267388691397,0.00905330523117563,3.4492086670853,0.000590741901132271,0.0134565164897466,0.0489969612485327
"INC_TOT_COM20–50K",0.0592790414262971,0.0106097253896972,5.58723616766382,3.13425694405405e-08,0.0384538096744755,0.0801042731781186
"INC_TOT_COM<20K",0.0754887403378176,0.0149300777196043,5.0561518670928,5.27281006553601e-07,0.046183332595088,0.104794148080547
"INC_TOT_COMDon't know/No answer/Refused",0.0494003062769857,0.0175716115008819,2.81137027611306,0.00505007128909105,0.0149099808144449,0.0838906317395266
"SEX_ASK_COMFemale",-0.0242237897750321,0.00718913713864039,-3.36949891313567,0.00078800053421921,-0.0383349417142895,-0.0101126378357747
"AGE_NMBR_COM",-0.00752263905477515,0.0128241447630414,-0.58659966756263,0.557633074733731,-0.0326944297373679,0.0176491516278176
"I(AGE_NMBR_COM^2)",8.93822771147766e-05,0.000115929923437466,0.771002640771956,0.440926116906247,-0.000138170033042146,0.0003169345872717
"WGHTS_PROV_COMBritish Columbia",-0.0211220928199934,0.0122348150856432,-1.72639248506329,0.0846511954064916,-0.0451371215074111,0.00289293586742433
"WGHTS_PROV_COMManitoba",0.00434090947970019,0.0140443320296333,0.309086218592736,0.757333981970407,-0.0232259179898081,0.0319077369492084
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00962832941503257,0.0151049677115063,-0.637428003748603,0.524022946896425,-0.0392770188619212,0.0200203600318561
"WGHTS_PROV_COMNova Scotia",-0.0122149789303298,0.01403467138352,-0.870343066576758,0.38436611542642,-0.0397628440622854,0.0153328862016257
"WGHTS_PROV_COMOntario",-0.0114404128313631,0.0122524731288003,-0.933722744061486,0.350720122808339,-0.0354901014960681,0.012609275833342
"WGHTS_PROV_COMQuebec",-0.0124983916717823,0.0126762220707731,-0.985971340830264,0.324436244721975,-0.0373798332421508,0.0123830498985862
"Race7South Asian",0.0562069976602936,0.0310127954069331,1.81238088739747,0.070290765925549,-0.00466626982770165,0.117080265148289
"Race7Black",0.0419243620450504,0.0325797443209706,1.28682292997815,0.198516959078064,-0.0220245811159252,0.105873305206026
"Race7Asian",0.0564284089650633,0.0237282735629975,2.37810849639981,0.0176285456469272,0.00985351867620653,0.10300329925392
"Race7Arab",0.00196292396708698,0.0314746641998896,0.0623652076038309,0.950287107113421,-0.0598169197327292,0.0637427676669032
"Race7Latin American",0.10181588069397,0.0413336518977519,2.46326845123278,0.0139708234088127,0.0206843859282635,0.182947375459677
"Race7Other",0.0441043314682359,0.0349344831137779,1.26248701961878,0.207130337728902,-0.0244665957002464,0.112675258636718
"CD4nv",0.122148427544024,0.220128818812871,0.554895211825312,0.579116743855787,-0.309930019225618,0.554226874313666
"CD8nv",-0.173826429481283,0.245624696488004,-0.707691172616971,0.479336929969286,-0.655949296987424,0.308296438024858
"Mono",0.840881622341166,0.220842086204905,3.80761491974391,0.000150709587543082,0.407403143224359,1.27436010145797
"Treg",-0.0713497852407559,0.391980201766411,-0.182023951513946,0.855608643826265,-0.840745621992407,0.698046051510895
"CD4mem",0.380748977606435,0.204876836407156,1.85842862611254,0.063464147085197,-0.0213922128622889,0.782890168075159
"CD8mem",0.337937172330562,0.20602661509795,1.64025978959029,0.101332352982083,-0.066460853901539,0.742335198562664
"NK",0.0236825607984189,0.227722215577274,0.103997586438301,0.917196539811185,-0.423300536336234,0.470665657933072
"Bmem",0.522434278935511,0.250889260729313,2.08233017793125,0.0376199231353187,0.029977895115735,1.01489066275529
"Bnv",1.09201436312056,0.252467739075038,4.32536199326439,1.70924484197513e-05,0.596459673156415,1.5875690530847
