"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.58957827028443,0.729384075423504,0.808323474764789,0.419819136228285,-0.848274641394787,2.02743118196365
"income_trend",0.0208816178646419,0.00367141391996132,5.68762289403257,4.28424056383464e-08,0.0136440685779634,0.0281191671513203
"SEX_ASK_COMFemale",-0.0230838036946012,0.0129288113187664,-1.78545444940439,0.0756307677798815,-0.0485706899944504,0.00240308260524794
"AGE_NMBR_COM",-0.00999008921772113,0.0245033237754527,-0.40770343277793,0.683906747558409,-0.0582940988931398,0.0383139204576975
"I(AGE_NMBR_COM^2)",0.000122700384156326,0.000223898835307196,0.54801707203156,0.584262224346646,-0.000318676941063055,0.000564077709375707
"WGHTS_PROV_COMBritish Columbia",0.000636969762733369,0.0184817286318688,0.0344648368895004,0.972539218432694,-0.0357965201112648,0.0370704596367315
"WGHTS_PROV_COMManitoba",0.00970148616947961,0.0256481110437231,0.378253437570556,0.705624415325583,-0.0408592710308699,0.0602622433698291
"WGHTS_PROV_COMNewfoundland and Labrador",0.0263910535612066,0.0237124989522156,1.11295960895512,0.266998130776245,-0.0203539835330525,0.0731360906554656
"WGHTS_PROV_COMNova Scotia",0.00895199279476413,0.023076985551766,0.387918637583021,0.698469171195394,-0.0365402409767503,0.0544442265662786
"WGHTS_PROV_COMOntario",-0.00659102333635943,0.0183569737273966,-0.359047380806716,0.719920382710528,-0.0427785807740927,0.0295965341013738
"WGHTS_PROV_COMQuebec",-0.00701921606729284,0.0215092433164284,-0.326334867481446,0.744495997474532,-0.0494209207008716,0.0353824885662859
"Race7South Asian",0.0290475327204539,0.0518797521811459,0.559901146386169,0.57614360701787,-0.0732243090215587,0.131319374462467
"Race7Black",-0.00835115265618109,0.0884739148221362,-0.0943911284243481,0.924888463939838,-0.182761974500357,0.166059669187995
"Race7Asian",-0.00990280147506593,0.0511394699983387,-0.193643021239517,0.846642581313519,-0.110715306596114,0.0909097036459826
"Race7Latin American",0.138465248585065,0.0870838716781202,1.59002173326492,0.113334206149184,-0.033205346745634,0.310135843915764
"CD4nv",0.284892915445659,0.379688744432999,0.750332791326479,0.453894154779408,-0.463596920170543,1.03338275106186
"CD8nv",-0.232138156967893,0.420881596671062,-0.551552167649943,0.581841622753141,-1.0618324835054,0.597556169569611
"Mono",0.761460375545945,0.384410963617228,1.98084978737536,0.0489132336435422,0.00366151217274369,1.51925923891915
"Treg",-0.618802094308423,0.746792315622603,-0.828613365943014,0.408263991112925,-2.09097230149886,0.853368112882013
"CD4mem",0.312311984114904,0.359099812850816,0.869708011361875,0.385452973800951,-0.395590380206948,1.02021434843676
"CD8mem",0.354504047157118,0.35030493957828,1.01198700647468,0.312708835490929,-0.336060765429152,1.04506885974339
"NK",0.375112358506142,0.390833651672024,0.959774975622942,0.338272210537894,-0.395347709068746,1.14557242608103
"Bmem",0.557461726914292,0.42738818095339,1.30434521064842,0.193543648874424,-0.285059190538291,1.39998264436688
"Bnv",1.29348367747312,0.454218575381999,2.84771197740052,0.00484089269793083,0.398071338270921,2.18889601667532
