"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",-25.7830948207405,15.7743488657302,-1.63449502988705,0.102154948992721,-62.0098908270037,1.17051227762016
"income_trend",0.618999910288803,0.163842330584494,3.77802188287099,0.000158078991602205,0.312927594545904,0.969525256975405
"SEX_ASK_COMFemale",0.658717473730362,0.611013706786701,1.0780731535378,0.281001111264374,-0.528218708582494,1.91104694810789
"AGE_NMBR_COM",0.724602243119538,0.532015207694031,1.36199535772719,0.173199350173356,-0.172674302902241,1.96293558350249
"I(AGE_NMBR_COM^2)",-0.0064395298384517,0.00449703791813902,-1.43194919759906,0.152158360927059,-0.0170774657374114,0.00100161232202785
"WGHTS_PROV_COMBritish Columbia",1.62808011173742,1.16234528833969,1.40068543148912,0.161308161094815,-0.337974196992273,4.65768230108704
"WGHTS_PROV_COMManitoba",0.661069762646504,1.51430060446655,0.436551210966056,0.662436852150909,-2.70234953061125,4.02840997736614
"WGHTS_PROV_COMNewfoundland and Labrador",0.864725882150363,1.51134041765589,0.572158245785265,0.567214772019811,-2.49287155886223,4.22988036969308
"WGHTS_PROV_COMNova Scotia",-15.7350643793972,1860.48048919557,-0.0084575272198639,0.993251950056536,NA,113.840703676504
"WGHTS_PROV_COMOntario",0.714226430726203,1.2243536552025,0.583349776178904,0.559657860335333,-1.49108673207283,3.80003495629374
"WGHTS_PROV_COMQuebec",-0.0211157692672361,1.30812245715241,-0.0161420432405098,0.987121072221852,-2.52869782129634,3.14441706647336
"Race7South Asian",-15.9593521939319,5082.42563248368,-0.00314010540398855,0.997494562496243,NA,486.159525194395
"Race7Black",-18.1308138589853,7515.06800134462,-0.00241259478367212,0.998075029738053,NA,1017.96025671608
"Race7Asian",-15.8801227197243,5916.94247620514,-0.00268383929429531,0.997858608634144,NA,668.786789309714
"Race7Latin American",-15.9869305078622,7503.80448072106,-0.00213051000315056,0.998300100247845,NA,1107.52892692173
"Race7Other",-17.1568757978751,10754.0130030838,-0.00159539288198324,0.998727061191048,NA,2166.42008703776
