"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",9.3158221759289,28.4389473914283,0.327572678682782,0.743350198817612,-46.537295580186,65.1689399320437
"INC_TOT_COM100–150K",1.22074020058835,0.66681281065042,1.83070898022733,0.0676448149054861,-0.0888573003996553,2.53033770157635
"INC_TOT_COM50–100K",0.580237250098038,0.57404340635099,1.01078985261136,0.312528575707866,-0.547164321090453,1.70763882128653
"INC_TOT_COM20–50K",1.47736638103766,0.584366295138021,2.5281512526124,0.0117244942939985,0.329691010152237,2.62504175192308
"INC_TOT_COM<20K",2.73896881664454,0.754062610546554,3.63228302045012,0.000305212226727732,1.25801569968655,4.21992193360253
"INC_TOT_COMDon't know/No answer/Refused",0.788143910336823,0.737987519441359,1.06796373864619,0.285970697510688,-0.661238278763642,2.23752609943729
"SEX_ASK_COMFemale",-2.72232245168129,0.327164381033425,-8.32096221196879,6.00019741721144e-16,-3.36486208045018,-2.0797828229124
"AGE_NMBR_COM",0.675680633048873,0.729682407106043,0.925992769551149,0.354825793940259,-0.757390600134073,2.10875186623182
"I(AGE_NMBR_COM^2)",-0.00527510289107808,0.00491893480910603,-1.0724075629774,0.283972505450208,-0.0149357222292769,0.00438551644712074
"WGHTS_PROV_COMBritish Columbia",-0.119763196858767,0.563471802432262,-0.212545146610357,0.831754677504965,-1.22640250035792,0.986876106640389
"WGHTS_PROV_COMManitoba",0.820195336188831,0.654172853732023,1.2537899295418,0.21041158843243,-0.464577722724067,2.10496839510173
"WGHTS_PROV_COMNewfoundland and Labrador",0.911556488215099,0.710239378259872,1.28344965953376,0.199835055708919,-0.483329302843924,2.30644227927412
"WGHTS_PROV_COMNova Scotia",1.00789827303765,0.646569994997787,1.55883861118718,0.119567185801495,-0.261943031956167,2.27773957803148
"WGHTS_PROV_COMOntario",0.481086302335555,0.564105749874941,0.852829992323618,0.394097329930516,-0.626798052208559,1.58897065687967
"WGHTS_PROV_COMQuebec",0.811853374121586,0.571643859168778,1.42020833618696,0.156071681026557,-0.310835568660348,1.93454231690352
"Race7South Asian",0.273484319487285,1.348062458963,0.202872142658482,0.839304439001235,-2.37406413674538,2.92103277571996
"Race7Black",-1.09180576078698,1.59920638702459,-0.682717233776402,0.495051701959227,-4.23259228222262,2.04898076064866
"Race7Asian",0.513496553467364,1.10307381226658,0.465514227386324,0.641733876638771,-1.65290259915322,2.67989570608795
"Race7Latin American",0.36102514369074,3.55872179698477,0.10144798168731,0.919229082962673,-6.62818246840788,7.35023275578936
"Race7Other",0.26205730596087,2.06612255812875,0.126835315228449,0.89911366583531,-3.79573656908643,4.31985118100817
"CD4nv",-44.8931572144919,9.81658107922241,-4.5731968036725,5.84859247520278e-06,-64.1725859301101,-25.6137284988737
"CD8nv",-43.6417809672694,12.9691845998042,-3.3650366090038,0.000814686897861515,-69.1128149223441,-18.1707470121947
"Mono",-22.7247046917745,10.0284438062155,-2.26602503148992,0.023808850009047,-42.4202245403031,-3.02918484324587
"Treg",-14.0581829415017,16.4674432377196,-0.853695545723859,0.393617832468515,-46.3996769370112,18.2833110540078
"CD4mem",-31.9679120994832,9.07078063837852,-3.52427352991282,0.000457322198688716,-49.7826143162025,-14.1532098827638
"CD8mem",-34.1077231018407,9.09472256568771,-3.75027636692528,0.000193932882030968,-51.9694464430378,-16.2459997606436
"NK",-41.183069406859,10.069167387373,-4.09001735918142,4.90837416401076e-05,-60.9585689727285,-21.4075698409895
"Bmem",-33.0855123680658,10.5433369544362,-3.13804941557378,0.00178503844626925,-53.7922647085555,-12.3787600275762
"Bnv",-43.221602271233,10.8557783941361,-3.98143741535657,7.69869005523262e-05,-64.5419788884324,-21.9012256540336
