"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.878780566143362,0.0270493531624771,32.4880436461751,2.07248171699212e-172,0.825718235404098,0.931842896882626
"GRLANYY_26_COM",0.0208598902474786,0.00993654474273397,2.0993102519598,0.0359709441445099,0.00136751198699384,0.0403522685079634
"SEX_ASK_COMFemale",-0.0109547752460516,0.00080225786523809,-13.6549303169505,6.5506581489302e-40,-0.0125285530708941,-0.00938099742120913
"AGE_NMBR_COM",-0.000300975778085602,0.000436312720476721,-0.689816647465039,0.490425563752183,-0.00115688422590017,0.000554932669728963
"I(AGE_NMBR_COM^2)",-9.65507120831082e-06,3.36572479050489e-06,-2.86864548032832,0.00418512087679002,-1.62575655799269e-05,-3.05257683669476e-06
"WGHTS_PROV_COMBritish Columbia",-0.00291077011265918,0.00140482645841142,-2.07197842497264,0.0384529706193647,-0.00566659816221499,-0.000154942063103374
"WGHTS_PROV_COMManitoba",-0.00348287699589123,0.00157041818960631,-2.21780225098154,0.0267307778358363,-0.0065635439854236,-0.000402210006358865
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00341755544559067,0.00173882419769478,-1.9654404684047,0.0495637128690722,-0.00682858210198803,-6.52878919330186e-06
"WGHTS_PROV_COMNova Scotia",-0.00437567843028969,0.00162111414497655,-2.6991797239256,0.00703598300651104,-0.00755579495323014,-0.00119556190734925
"WGHTS_PROV_COMOntario",-0.00349008679455058,0.00138918509012233,-2.51232670100371,0.0121072009697107,-0.006215231394769,-0.000764942194332165
"WGHTS_PROV_COMQuebec",-0.00296209625538137,0.00139321129254283,-2.12609262588956,0.0336727835690016,-0.00569513899952864,-0.000229053511234109
"Race7South Asian",-0.00572750280769774,0.00348040957765057,-1.64564045693842,0.100065688159679,-0.0125549726923966,0.00109996707700112
"Race7Black",-0.000606555093965267,0.00372541978948176,-0.162815233783263,0.870687768364838,-0.00791465802066672,0.00670154783273619
"Race7Asian",-0.00221041259214954,0.00269791766839693,-0.819303204853889,0.412755015626734,-0.00750287924626423,0.00308205406196515
"Race7Arab",0.00387311844090219,0.00451548012017398,0.857742330344478,0.391183807110699,-0.00498483458089572,0.0127310714627001
"Race7Latin American",-0.00653403074971003,0.00549902683304041,-1.18821583310903,0.234952983360923,-0.0173213933460049,0.00425333184658489
"Race7Other",-0.00310611478921055,0.00424230770783407,-0.732175740923894,0.464185724763797,-0.0114281893814817,0.00521595980306059
"CD4nv",0.123433135758058,0.0246186211584255,5.01381190131413,6.0291297398774e-07,0.0751391373616323,0.171727134154483
"CD8nv",0.12027781152886,0.0287051167995152,4.19011747518449,2.9652939483185e-05,0.0639673928517141,0.176588230206007
"Mono",-0.0457328374479289,0.0248835427294449,-1.83787485347948,0.0662958574820093,-0.0945465287160086,0.00308085382015073
"Treg",-0.015386566516866,0.0427862972177629,-0.359614351261932,0.719190611008648,-0.0993198362124536,0.0685467031787216
"CD4mem",0.0630864325774449,0.022854984973261,2.76029201731055,0.00585145779706469,0.0182521341597513,0.107920730995138
"CD8mem",-0.0296280351982504,0.0228156348285124,-1.2985847389714,0.194303588746203,-0.0743851409975939,0.0151290706010931
"NK",0.0765962653075005,0.0252791793034569,3.03001392521576,0.00249093263793233,0.0270064594086319,0.126186071206369
"Bmem",-0.0948928222479893,0.0269653611142785,-3.51906365525148,0.000447154978803716,-0.147790386982898,-0.0419952575130808
"Bnv",0.0249096306741578,0.0276252284629188,0.901698630568569,0.367374437929244,-0.0292823864377548,0.0791016477860703
