"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.481292471009885,0.194371368156417,2.47614901091077,0.0134000993927787,0.0999969272160188,0.862588014803752
"GRLANYY_26_COM",-0.0682736606016881,0.0714020695722908,-0.956186018285712,0.339145854808531,-0.208342083249539,0.0717947620461629
"SEX_ASK_COMFemale",-0.023557708402585,0.00576486831104296,-4.08642611271081,4.63321970332703e-05,-0.0348665684389575,-0.0122488483662125
"AGE_NMBR_COM",0.00281058564371419,0.00313525798246269,0.896444777251322,0.370171723071384,-0.00333980527391902,0.00896097656134741
"I(AGE_NMBR_COM^2)",1.67473944967956e-06,2.4185440902739e-05,0.0692457688249089,0.944804031613663,-4.57694954104835e-05,4.91189743098426e-05
"WGHTS_PROV_COMBritish Columbia",-0.0171152321815962,0.0100948085192125,-1.69544891802776,0.0902160324990791,-0.0369180742376885,0.00268760987449598
"WGHTS_PROV_COMManitoba",0.0174843072385618,0.0112847183538177,1.54937914180612,0.12152005805089,-0.00465276398798284,0.0396213784651065
"WGHTS_PROV_COMNewfoundland and Labrador",0.0153650132552508,0.0124948510324551,1.22970759838117,0.21901637819315,-0.00914595800677879,0.0398759845172804
"WGHTS_PROV_COMNova Scotia",0.012414446582272,0.0116490095864443,1.06570833255374,0.286742060949983,-0.0104372495654282,0.0352661427299723
"WGHTS_PROV_COMOntario",0.00417640613538153,0.00998241270198441,0.418376424624409,0.675737065530207,-0.0154059506473054,0.0237587629180684
"WGHTS_PROV_COMQuebec",0.0169610333289515,0.0100113442061222,1.69418141857308,0.0904566197614931,-0.00267807797322884,0.0366001446311319
"Race7South Asian",0.0455249763098372,0.0250095433812838,1.82030417812051,0.0689293709818482,-0.00353588864188223,0.0945858412615565
"Race7Black",0.0609777735449073,0.0267701389045803,2.27782805917657,0.0228892923599401,0.00846317343752366,0.113492373652291
"Race7Asian",0.0687643506973481,0.019386709368974,3.54698414200177,0.000402723283815195,0.030733719121673,0.106794982273023
"Race7Arab",0.0149403532672184,0.0324473581149747,0.460448989846212,0.645266574738121,-0.0487111668844915,0.0785918734189283
"Race7Latin American",0.102901183605558,0.0395149326731268,2.60410879240949,0.00931030753226889,0.0253853031315728,0.180417064079544
"Race7Other",0.0553013815255505,0.0304843945198691,1.81408823749168,0.0698813854412638,-0.00449942090707103,0.115102183958172
"CD4nv",0.0484775177439698,0.176904602780878,0.274031975324103,0.784101089833545,-0.298553721253592,0.395508756741531
"CD8nv",-0.384045370222418,0.206269362224578,-1.86186337166392,0.0628349426328198,-0.788681039474601,0.0205902990297647
"Mono",0.772341238959552,0.178808277441927,4.3193819101042,1.67666797329485e-05,0.421575588500179,1.12310688941893
"Treg",-0.0844614049594757,0.307453974171192,-0.27471235389674,0.783578388416342,-0.687589485937176,0.518666676018224
"CD4mem",0.225007297076286,0.1642314576531,1.37006210802538,0.170890526435017,-0.0971632136725241,0.547177807825096
"CD8mem",0.226593475551531,0.163948695199373,1.38209990189905,0.167164852225335,-0.0950223441201893,0.54820929522325
"NK",-0.0660759414622855,0.181651244581345,-0.363751658374662,0.71609922285024,-0.422418600056623,0.290266717132052
"Bmem",0.141403090480605,0.193767817704599,0.729755292471612,0.465663714433236,-0.238708476990431,0.521514657951642
"Bnv",0.989902638632725,0.198509495577136,4.98667651013236,6.9228973810935e-07,0.600489389231615,1.37931588803384
