"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",38.4169944269844,9.67738405136829,3.96977057261178,7.56490112823073e-05,19.4330080026097,57.4009808513591
"GRLANYY_26_COM",-3.38614894507004,3.55497445877685,-0.952510062824782,0.341005285757025,-10.3598916947831,3.58759380464304
"SEX_ASK_COMFemale",-0.537534897593069,0.287021927049618,-1.87280081044172,0.0613073322767129,-1.10058172281826,0.0255119276321216
"AGE_NMBR_COM",0.424475561696861,0.156098585322469,2.71927872260968,0.00662453809473331,0.118259190733795,0.730691932659926
"I(AGE_NMBR_COM^2)",-0.00460893747859449,0.0012041475155905,-3.82755220512524,0.000135219331026801,-0.00697109650499817,-0.00224677845219082
"WGHTS_PROV_COMBritish Columbia",-0.196687782774828,0.502601488542428,-0.391339435434688,0.695606811175554,-1.18263396251861,0.789258396968955
"WGHTS_PROV_COMManitoba",0.177353567435056,0.561844856355264,0.315662883496993,0.752306167085767,-0.92480948293443,1.27951661780454
"WGHTS_PROV_COMNewfoundland and Labrador",-0.100682278285104,0.622095081454574,-0.161843874492128,0.871452510630514,-1.32103733687494,1.11967278030473
"WGHTS_PROV_COMNova Scotia",0.187037911063541,0.579982230177919,0.322489037304064,0.747131126267731,-0.950704967139108,1.32478078926619
"WGHTS_PROV_COMOntario",-0.390422035757443,0.497005512656679,-0.785548702811146,0.43226687249939,-1.36539066932942,0.584546597814533
"WGHTS_PROV_COMQuebec",-0.632063576394495,0.498445957714925,-1.26806841666873,0.204987566357301,-1.60985791051588,0.345730757726892
"Race7South Asian",1.33532296022286,1.24517802465264,1.07239521882452,0.283730186691815,-1.10732503126543,3.77797095171114
"Race7Black",0.687756784427925,1.33283475722423,0.516010541216867,0.605929770836057,-1.92684617054129,3.30235973939714
"Race7Asian",0.480682373079038,0.965227717617562,0.497998932589181,0.618564201389909,-1.41279108942049,2.37415583557856
"Race7Arab",1.31906947304651,1.61549280076169,0.816512133278824,0.414348311868816,-1.85001973903232,4.48815868512534
"Race7Latin American",0.621042347347165,1.9673740163936,0.315670707334847,0.752300229245513,-3.23832723234858,4.48041192704292
"Race7Other",0.167034787673906,1.5177605433368,0.110053452375749,0.912382996663022,-2.81033444736057,3.14440402270839
"CD4nv",-82.6363307162886,8.80774672629573,-9.38223285526319,2.56347271633263e-20,-99.9143619893874,-65.3582994431898
"CD8nv",-120.751624368311,10.2697627495819,-11.7579760421659,1.73720926516706e-30,-140.897671645627,-100.605577090995
"Mono",-22.2864259455949,8.90252709944724,-2.50338198318752,0.0124161173931183,-39.750386526413,-4.82246536477669
"Treg",-46.5397837254066,15.3075538562847,-3.04031487737012,0.00240784205208881,-76.5683940456723,-16.5111734051409
"CD4mem",-32.8531496541573,8.17677471790024,-4.01786166154689,6.18991623190734e-05,-48.8934121275517,-16.8128871807629
"CD8mem",-59.0343489099658,8.16269650830603,-7.23221166558071,7.85211848229595e-13,-75.0469943601649,-43.0217034597666
"NK",-44.6754150204429,9.04407307463133,-4.93974502989783,8.77864174841154e-07,-62.41704432424,-26.9337857166458
"Bmem",-31.3623365285704,9.64733441199997,-3.25088104021355,0.00117826293258079,-50.2873750034995,-12.4372980536413
"Bnv",-54.3704954855527,9.88341361572039,-5.50118588572191,4.49102957239179e-08,-73.7586471711094,-34.982343799996
