"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",147.593631026269,137.598816111489,1.07263736125958,0.287117884969952,-126.838554362263,422.025816414802
"income_trend",0.344354653578511,0.359579733255374,0.957658682431776,0.341530844814228,-0.372804511066791,1.06151381822381
"SEX_ASK_COMFemale",-1.8907806129545,1.51344146439222,-1.24932523486385,0.215707571430723,-4.90924443603169,1.12768321012268
"AGE_NMBR_COM",-2.64279114430969,3.3534588689974,-0.788079188548335,0.43331105889801,-9.33105396543634,4.04547167681696
"I(AGE_NMBR_COM^2)",0.0164065607707321,0.0228110434006999,0.719237629008619,0.474388856957729,-0.029088630745847,0.0619017522873113
"WGHTS_PROV_COMBritish Columbia",1.04890668115072,2.30850386997907,0.454366438276851,0.650970933243713,-3.55525910980295,5.65307247210439
"WGHTS_PROV_COMManitoba",-1.98573254003061,3.3958051213569,-0.584760452695574,0.560588934139285,-8.75845229840747,4.78698721834625
"WGHTS_PROV_COMNewfoundland and Labrador",-2.67241428623508,3.23812229413672,-0.825297516117296,0.41200645963758,-9.130645562115,3.78581698964485
"WGHTS_PROV_COMNova Scotia",-0.0170260963651152,2.83189605450472,-0.0060122603504573,0.99522004082476,-5.66506468414772,5.63101249141749
"WGHTS_PROV_COMOntario",0.222546836581261,2.29010050541964,0.097177759689844,0.922862935701148,-4.34491460111363,4.79000827427615
"WGHTS_PROV_COMQuebec",-1.28887512858688,2.6469117594279,-0.486935434850104,0.627825378496247,-6.56797417317345,3.99022391599969
"Race7South Asian",-1.93500011370113,5.65380970612429,-0.342247124377941,0.733190404403006,-13.2111680144876,9.3411677870853
"Race7Black",3.41462329174266,6.02391613453037,0.566844427360022,0.572633078321759,-8.59969860516193,15.4289451886473
"Race7Asian",1.63080950307276,5.7367915206159,0.284272052978085,0.777041128677663,-9.81086040813786,13.0724794142834
"Race7Latin American",-1.62181598768535,5.70885603538524,-0.284087736252734,0.777181790784162,-13.0077703304166,9.76413835504589
"Race7Other",0.234921485707162,4.12929486091948,0.0568914290743702,0.954793764965549,-8.00069743035668,8.47054040177101
"CD4nv",-80.7673702082951,45.2867023041201,-1.78346768695823,0.0788449475088568,-171.088849953366,9.55410953677563
"CD8nv",-149.125923244591,61.5502998497877,-2.42283016668529,0.0179904736200699,-271.884125505652,-26.3677209835299
"Mono",-22.3925005963397,46.9238328462015,-0.477209538055723,0.634699505999088,-115.979134251352,71.1941330586722
"Treg",-15.3870504286426,77.4431917438954,-0.19868822658456,0.843082584231436,-169.84262609668,139.068525239394
"CD4mem",-23.8556357487737,42.5716859833783,-0.560363894398918,0.577020358855493,-108.762186184693,61.0509146871452
"CD8mem",-68.7182912144702,44.59835015094,-1.54082585974364,0.127867885230357,-157.666895879271,20.2303134503306
"NK",-58.4048033338628,45.7077858632073,-1.27778675406975,0.205545969480868,-149.566107756334,32.7565010886083
"Bmem",-47.6382100511013,51.6679005733468,-0.922007852505541,0.359691458452211,-150.686588441888,55.4101683396853
"Bnv",-10.5011465110936,51.9107820054566,-0.202292204151149,0.84027508116289,-114.03393664384,93.0316436216528
