"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",12.3538000571742,19.8254043485003,0.62312979044529,0.533371451884578,-26.5603683087683,51.2679684231166
"INC_TOT_COM100–150K",0.426817257908856,0.467870283048274,0.912255540420416,0.361900703717843,-0.49153894042709,1.3451734562448
"INC_TOT_COM50–100K",0.55120306848204,0.445964837617657,1.23597876331813,0.21681825138604,-0.324156166128297,1.42656230309238
"INC_TOT_COM20–50K",0.952908366863646,0.522633926479225,1.82328072975095,0.0686226206915319,-0.0729402993858572,1.97875703311315
"INC_TOT_COM<20K",1.52543349601937,0.735454015502986,2.07413851017743,0.03837610431814,0.0818522766100174,2.96901471542873
"INC_TOT_COMDon't know/No answer/Refused",1.68086148288774,0.865575684191721,1.94190007134655,0.0524892808639655,-0.0181282232490967,3.37985118902458
"SEX_ASK_COMFemale",-0.648971955322927,0.354136118773993,-1.83254946592188,0.0672298748366169,-1.34408577535833,0.0461418647124769
"AGE_NMBR_COM",1.14484310838485,0.63171598557629,1.8122750326485,0.070307128243015,-0.0951165812157624,2.38480279798546
"I(AGE_NMBR_COM^2)",-0.0112546821273491,0.00571069550408863,-1.97080760465887,0.0490798115830053,-0.0224638843421602,-4.54799125379751e-05
"WGHTS_PROV_COMBritish Columbia",-0.195535914034503,0.602685669335638,-0.32444095485139,0.745686460497089,-1.37851363272309,0.987441804654086
"WGHTS_PROV_COMManitoba",0.161567707345371,0.691822278506181,0.233539324137171,0.815400571900054,-1.1963712356319,1.51950665032264
"WGHTS_PROV_COMNewfoundland and Labrador",0.269060413420444,0.744069077609915,0.361606766786647,0.717738497587394,-1.19143082564949,1.72955165249038
"WGHTS_PROV_COMNova Scotia",0.639371564992593,0.691346396122325,0.92482085475349,0.355329526047726,-0.717633295285416,1.9963764252706
"WGHTS_PROV_COMOntario",-0.249340875542802,0.60355550263388,-0.413120043566323,0.679626014556781,-1.43402594096809,0.935344189882484
"WGHTS_PROV_COMQuebec",-0.670062125626448,0.624429329735918,-1.07307920002705,0.283549356555464,-1.89571924932664,0.555594998073741
"Race7South Asian",0.770835132597977,1.52768695129111,0.504576629358858,0.613990966128382,-2.2277754474426,3.76944571263856
"Race7Black",0.167537751801082,1.60487468551192,0.104393042842246,0.916882816543021,-2.98258027961118,3.31765578321334
"Race7Asian",0.298027511561265,1.16885219223912,0.254974507076337,0.798806335434883,-1.99624655236897,2.5923015754915
"Race7Arab",0.370093449899517,1.55043855813434,0.238702429037146,0.811395613034111,-2.67317497639378,3.41336187619282
"Race7Latin American",0.403841020057189,2.03609122701942,0.198341319238609,0.84282688941829,-3.59268764709434,4.40036968720871
"Race7Other",1.05791406770599,1.72086886405239,0.614755772392071,0.538885532283445,-2.31988239658193,4.43571053199391
"CD4nv",-76.8136399775448,10.8435218331969,-7.08382766772171,3.00660723914936e-12,-98.0977775860025,-55.529502369087
"CD8nv",-115.577336306914,12.0994460130374,-9.55228331796159,1.40313154826624e-20,-139.326656674324,-91.8280159395046
"Mono",-20.1895569085846,10.8786573078709,-1.85588683761341,0.0638261024552987,-41.5426599592118,1.16354614204263
"Treg",-15.4779413325729,19.3089023915958,-0.801596124868792,0.42301743369185,-53.3782971296009,22.4224144644551
"CD4mem",-31.0257859483212,10.0922108276329,-3.07423085766017,0.0021799565596444,-50.8352175456548,-11.2163543509877
"CD8mem",-51.9698894594546,10.1488488017256,-5.1207669435984,3.78973357192885e-07,-71.8904925426758,-32.0492863762333
"NK",-46.2008376727704,11.2175717374619,-4.1186130790213,4.19560603126864e-05,-68.2191767479909,-24.1824985975499
"Bmem",-25.8258897319484,12.3587778788093,-2.08967990081205,0.036952309290969,-50.0842379965906,-1.56754146730626
"Bnv",-55.5139150501967,12.4365335515895,-4.46377721090148,9.17180829574261e-06,-79.9248855407861,-31.1029445596072
