"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.921822423804859,0.0264085155676848,34.9062567126212,2.25004086645347e-190,0.870015855530038,0.97362899207968
"grtcc10_05_COM",4.46387785231699e-05,6.74915102499409e-05,0.661398424155267,0.508470626524875,-8.77618300900946e-05,0.000177039387136434
"SEX_ASK_COMFemale",-0.0111390128789715,0.0008062253307089,-13.8162526711697,1.09137718932198e-40,-0.0127206151289432,-0.00955741062899993
"AGE_NMBR_COM",-0.000506578251101607,0.000435580940407153,-1.16299453008226,0.245038939160557,-0.00136107360017102,0.000347917097967807
"I(AGE_NMBR_COM^2)",-8.03543778172527e-06,3.36788493001687e-06,-2.38590033469018,0.0171756671754959,-1.46423430476223e-05,-1.42853251582828e-06
"WGHTS_PROV_COMBritish Columbia",-0.0028457574263879,0.00184559981825645,-1.54191466548599,0.123330613823683,-0.00646633930829798,0.000774824455522185
"WGHTS_PROV_COMManitoba",-0.00405884206413166,0.00154230267318119,-2.63167673551378,0.00859408415724993,-0.00708443464368478,-0.00103324948457854
"WGHTS_PROV_COMNova Scotia",-0.00442358370467497,0.00225461993317565,-1.96200860268467,0.0499683621448224,-0.00884655557533801,-6.11834011938692e-07
"WGHTS_PROV_COMOntario",-0.00324162251122445,0.0015592935622672,-2.07890456913782,0.0378161165269176,-0.00630054675053058,-0.000182698271918328
"WGHTS_PROV_COMQuebec",-0.00294776575527032,0.00164409078480989,-1.79294585341963,0.0732072148742541,-0.00617303986334942,0.000277508352808781
"Race7South Asian",-0.00506319438715385,0.00331802604031146,-1.52596583801331,0.127254528790952,-0.0115722896126868,0.00144590083837909
"Race7Black",-0.00071316098424252,0.00367575418212939,-0.194017594459861,0.846191534097133,-0.00792402482510775,0.00649770285662271
"Race7Asian",-0.00250588299094981,0.00261808301088617,-0.957144208388418,0.338667250418976,-0.00764187391421828,0.00263010793231866
"Race7Arab",0.00343754393717436,0.00444566175284363,0.77323560097112,0.439519438139134,-0.00528367625163781,0.0121587641259865
"Race7Latin American",-0.00698537296828102,0.00540988083308505,-1.29122492413526,0.196848558994748,-0.0175981376282083,0.0036273916916463
"Race7Other",-0.00506674494871769,0.00440604001622641,-1.14995436493043,0.250368008257729,-0.0137102377015456,0.00357674780411023
"CD4nv",0.106954373436462,0.0250548950158868,4.26880150041118,2.10369822793638e-05,0.0578032529983509,0.156105493874573
"CD8nv",0.091216907385905,0.0291414761433204,3.13014024880868,0.00178499066252234,0.0340489885917346,0.148384826180076
"Mono",-0.067645608503056,0.0252821741178885,-2.67562465900403,0.00754995629080519,-0.117242590817997,-0.0180486261881152
"Treg",-0.0273401826664192,0.0431146249731097,-0.634127808915677,0.526105729622745,-0.111919747791462,0.0572393824586238
"CD4mem",0.0394387217808709,0.023179087132078,1.70147864564911,0.0890852989833724,-0.0060325564883793,0.0849100000501211
"CD8mem",-0.0489850674498706,0.0232623755079411,-2.10576376574905,0.0354106623847245,-0.0946197356271824,-0.00335039927255867
"NK",0.0557540908150097,0.0260566224707652,2.13972823521407,0.0325570601463883,0.00463784433068401,0.106870337299335
"Bmem",-0.134642681343537,0.0272059893501799,-4.94900882340624,8.4067291105032e-07,-0.188013683630346,-0.0812716790567273
"Bnv",0.00575200348035838,0.0279952817092724,0.205463318429593,0.837241385104813,-0.0491673830155261,0.0606713899762428
