"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",31.3277797781872,7.1402627243437,4.38748278426501,1.23667380303554e-05,17.3204605337265,45.3350990226479
"grtcc10_05_COM",-0.0282909281813366,0.0182481712617353,-1.55034319743919,0.121295472720412,-0.0640890451916897,0.00750718882901651
"SEX_ASK_COMFemale",-2.02380086615529,0.217985015535166,-9.28412836628585,6.36095818772075e-20,-2.45143018751061,-1.59617154479997
"AGE_NMBR_COM",0.196320762717874,0.11777119180563,1.66696761498247,0.0957547014692725,-0.0347153692997611,0.427356894735509
"I(AGE_NMBR_COM^2)",-0.00178893742357433,0.000910599581564688,-1.96457088251719,0.0496704634477466,-0.00357529452768513,-2.58031946352862e-06
"WGHTS_PROV_COMBritish Columbia",0.661277388707815,0.499008266957557,1.32518323341537,0.185336460512371,-0.317645708487047,1.64020048590268
"WGHTS_PROV_COMManitoba",0.635129093065144,0.417003608504481,1.52307817033751,0.127975272355771,-0.182922412308735,1.45318059843902
"WGHTS_PROV_COMNova Scotia",1.01089721231971,0.609598014896214,1.65830135206693,0.0974908722869484,-0.184973911067505,2.20676833570693
"WGHTS_PROV_COMOntario",0.474094703323594,0.421597558955172,1.12451956434123,0.260994218976443,-0.352968925698996,1.30115833234618
"WGHTS_PROV_COMQuebec",1.28191312098147,0.444524801711307,2.88378312311581,0.00399212612471436,0.409872266179006,2.15395397578394
"Race7South Asian",0.847078012315302,0.897118870362719,0.944220482145042,0.345227330122265,-0.912833478694375,2.60698950332498
"Race7Black",0.0198848617264487,0.993840433902507,0.0200081029591108,0.984039889563184,-1.92976892177706,1.96953864522995
"Race7Asian",0.465249903823202,0.707870174828873,0.657253152296854,0.511131109397172,-0.923405374736116,1.85390518238252
"Race7Arab",-0.790288048520583,1.20200595211466,-0.657474322094868,0.510988976481932,-3.14830787986503,1.56773178282386
"Race7Latin American",2.47864462151594,1.46270888860131,1.69455770784718,0.0903918861584675,-0.390805867258903,5.34809511029079
"Race7Other",1.83464712463492,1.19129313456471,1.54004675373647,0.123785229945626,-0.50235697364438,4.17165122291422
"CD4nv",-51.7967348305332,6.77427447543447,-7.64609332237179,3.93442185675965e-14,-65.0860813000265,-38.5073883610398
"CD8nv",-47.6290862809639,7.87919318316851,-6.04491921618433,1.93515796384888e-09,-63.0859929195868,-32.172179642341
"Mono",-27.7645176054606,6.83572558183558,-4.06167820417464,5.15479708500372e-05,-41.1744149984306,-14.3546202124905
"Treg",-31.5661697642718,11.6572152183464,-2.70786540121453,0.00685794739522633,-54.4345628988916,-8.69777662965189
"CD4mem",-33.1850221651663,6.26709863374576,-5.29511726311096,1.38878226931173e-07,-45.479422902006,-20.8906214283266
"CD8mem",-37.9884724688937,6.28961791863409,-6.03986966463357,1.99503879500378e-09,-50.3270501253742,-25.6498948124132
"NK",-49.4012836513531,7.04511882439789,-7.01212923198285,3.71258803809423e-12,-63.2219555647345,-35.5806117379718
"Bmem",-34.7253335889718,7.3558815200385,-4.72075759980295,2.59634773648628e-06,-49.1556402532239,-20.2950269247197
"Bnv",-47.7437260803663,7.5692882446911,-6.30755819265471,3.84292275441094e-10,-62.5926806622829,-32.8947714984497
