"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",39.3156235790355,9.54179525982507,4.12035916810861,4.01488380585046e-05,20.5971285418748,58.0341186161963
"grtcc10_05_COM",-0.0265804252056526,0.0243857013064888,-1.09000044212712,0.275909066419092,-0.0744187634275066,0.0212579130162014
"SEX_ASK_COMFemale",-0.568899828032319,0.291301380389685,-1.95295960242715,0.0510324533712634,-1.14035659215936,0.00255693609472463
"AGE_NMBR_COM",0.368634470818654,0.157381968016898,2.34229165808293,0.0193115879120147,0.0598924042531948,0.677376537384113
"I(AGE_NMBR_COM^2)",-0.00413468593953208,0.00121686765689301,-3.39781069544493,0.0006992117404888,-0.00652186053049588,-0.00174751134856828
"WGHTS_PROV_COMBritish Columbia",0.167022453613832,0.666843070078599,0.250467405463396,0.802264332862604,-1.1411484259676,1.47519333319526
"WGHTS_PROV_COMManitoba",0.273493715729072,0.557257233881927,0.490785402324666,0.623658655583001,-0.819698548703565,1.36668598016171
"WGHTS_PROV_COMNova Scotia",0.722700753222573,0.814628210962658,0.887154094956455,0.375155257717685,-0.875385739812826,2.32078724625797
"WGHTS_PROV_COMOntario",-0.217102854512333,0.563396298553151,-0.385346611381493,0.700041837193816,-1.32233835069036,0.888132641665692
"WGHTS_PROV_COMQuebec",-0.356640173388628,0.594034814907107,-0.600369144095365,0.548361842264932,-1.52198038788231,0.808700041105058
"Race7South Asian",1.23704069109381,1.1988528875194,1.03185361938229,0.302327031466367,-1.11479365603398,3.58887503822161
"Race7Black",0.676130865866498,1.32810546436932,0.509094257953057,0.610770035653827,-1.92926307381429,3.28152480554729
"Race7Asian",0.734369581584344,0.945952906708277,0.776327845050765,0.43769254160651,-1.12134145679433,2.59008061996302
"Race7Arab",1.41885953979574,1.60628468992692,0.883317601601678,0.377223256546212,-1.73224894429215,4.56996802388364
"Race7Latin American",0.625811720941382,1.95467159663132,0.32016207838693,0.748895419762417,-3.2087403297482,4.46036377163096
"Race7Other",0.34095879942642,1.59196875847401,0.214174303114621,0.83044374363359,-2.78206558889576,3.4639831877486
"CD4nv",-85.2622591054783,9.05271172418882,-9.41842198262625,1.93127782212508e-20,-103.021300760411,-67.5032174505453
"CD8nv",-121.556025042409,10.5292551645309,-11.5445986580215,1.85074929500104e-29,-142.211656941377,-100.90039314344
"Mono",-23.5417641170529,9.13483109407839,-2.57714279274564,0.0100682846578697,-41.461902397503,-5.6216258366029
"Treg",-56.5911560347032,15.5779647342602,-3.63276955623374,0.00029099189018646,-87.151029478546,-26.0312825908603
"CD4mem",-33.6181198340441,8.37495402409412,-4.01412589696938,6.29737800012806e-05,-50.0475789733014,-17.1886606947868
"CD8mem",-60.2236220617591,8.40504737136962,-7.16517342506608,1.27898916401549e-12,-76.7121164408522,-43.735127682666
"NK",-47.7579315084788,9.41465097276557,-5.07272459134508,4.47248382078991e-07,-66.2270028636677,-29.2888601532899
"Bmem",-30.0469099150468,9.82993457375751,-3.05667445592787,0.00228237881125403,-49.3306585728301,-10.7631612572635
"Bnv",-54.724118866008,10.1151178159319,-5.41013163285301,7.45236895854589e-08,-74.5673221083806,-34.8809156236354
