"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.922014178429294,0.0264209582623137,34.8970756198664,2.66146520139079e-190,0.870183200857132,0.973845156001455
"grtcc10_03_COM",2.79254941312519e-05,5.92494667634471e-05,0.471320598424019,0.63748858874136,-8.83063908931116e-05,0.000144157379155615
"SEX_ASK_COMFemale",-0.0111514758746888,0.000805866464124107,-13.8378706288631,8.39056451365512e-41,-0.0127323741227191,-0.00957057762665846
"AGE_NMBR_COM",-0.000506922783987672,0.000435969197371492,-1.16274908191672,0.245138503971432,-0.00136217979120026,0.000348334223224913
"I(AGE_NMBR_COM^2)",-8.02869988135082e-06,3.370777809366e-06,-2.38185378432313,0.0173647349129921,-1.46412802163795e-05,-1.41611954632216e-06
"WGHTS_PROV_COMBritish Columbia",-0.00254792194309425,0.00176700609323995,-1.4419429298189,0.149552314566445,-0.00601432358830742,0.00091847970211891
"WGHTS_PROV_COMManitoba",-0.0040158257448727,0.00153986846510922,-2.60790180191648,0.00921123081569531,-0.00703664304781656,-0.000995008441928847
"WGHTS_PROV_COMNova Scotia",-0.00403622747881173,0.00214401528815002,-1.88255536288382,0.0599773149103685,-0.00824222209911222,0.000169767141488755
"WGHTS_PROV_COMOntario",-0.00305289435854379,0.00152320292477999,-2.00425977975637,0.0452433188231,-0.00604101825050473,-6.47704665828587e-05
"WGHTS_PROV_COMQuebec",-0.00272510084066534,0.00159421242740294,-1.7093712191823,0.0876139137831703,-0.00585252671786541,0.00040232503653474
"Race7South Asian",-0.00508777755112638,0.00331794717572644,-1.53341125752324,0.125410784192268,-0.0115967180650665,0.00142116296281371
"Race7Black",-0.00072218444624078,0.00368341863495379,-0.196063634849325,0.844590109148561,-0.00794808392958727,0.00650371503710571
"Race7Asian",-0.00256832111926413,0.002614901733223,-0.982186476314943,0.326185419016158,-0.00769807121169014,0.00256142897316187
"Race7Arab",0.00338867881467648,0.00444477614170391,0.762395834265216,0.445958067598278,-0.00533080403778837,0.0121081616671413
"Race7Latin American",-0.00696805849627691,0.0054162133674884,-1.2865184628995,0.198484566133985,-0.0175932459247267,0.00365712893217289
"Race7Other",-0.00506699839071293,0.00440868426269003,-1.14932213077586,0.250628424259738,-0.0137156784602835,0.00358168167885764
"CD4nv",0.107132341499022,0.0250550393014419,4.27588000202646,2.03882258224837e-05,0.0579809380105655,0.156283744987479
"CD8nv",0.0914340746847101,0.0291454696668996,3.13716250689044,0.00174309186204664,0.0342583216466407,0.14860982772278
"Mono",-0.067515395031855,0.0252826521836405,-2.67042375702743,0.007667278482482,-0.117113315186182,-0.0179174748775284
"Treg",-0.0272939834188719,0.0431228541632822,-0.632935457275735,0.526883867527438,-0.111889692052679,0.0573017252149354
"CD4mem",0.0395729232180457,0.023179159356706,1.70726308961661,0.088004990669315,-0.0058984967369464,0.0850443431730379
"CD8mem",-0.0487938130949546,0.0232608006120989,-2.09768416438662,0.0361201162654104,-0.0944253917404537,-0.00316223444945542
"NK",0.0559872127465436,0.0260539034357948,2.14889921905614,0.0318212162311278,0.00487630029435881,0.107098125198728
"Bmem",-0.134562180560311,0.0272078503542928,-4.94571157985954,8.54768976361974e-07,-0.187936833648181,-0.0811875274724417
"Bnv",0.00613836334633431,0.0279854286978458,0.219341408438271,0.826417538021161,-0.0487616941301709,0.0610384208228396
