"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",31.4213438206314,7.14268556945669,4.39909380233595,1.17322410992392e-05,17.4092715907011,45.4334160505616
"grtcc10_03_COM",-0.0255353520604429,0.0160175988716095,-1.59420598961953,0.111125902990381,-0.056957672160712,0.00588696803982625
"SEX_ASK_COMFemale",-2.01833996650396,0.21785927319747,-9.26442072848795,7.56756261022801e-20,-2.44572261443358,-1.59095731857435
"AGE_NMBR_COM",0.193127921654521,0.117860634117677,1.6386126131113,0.101528892142447,-0.0380836726769213,0.424339515985964
"I(AGE_NMBR_COM^2)",-0.00176604262957101,0.000911261649852627,-1.93801926137967,0.0528308698281282,-0.00355369853769348,2.16132785514638e-05
"WGHTS_PROV_COMBritish Columbia",0.626151788131648,0.477695350714422,1.31077639167976,0.190158084540711,-0.310960967711176,1.56326454397447
"WGHTS_PROV_COMManitoba",0.625357332135349,0.416290588531965,1.50221347626583,0.133277768899848,-0.191295415410102,1.4420100796808
"WGHTS_PROV_COMNova Scotia",0.963959173864483,0.579616640218811,1.66309782531533,0.0965268758169224,-0.173096370501757,2.10101471823072
"WGHTS_PROV_COMOntario",0.452900402044071,0.411785198786636,1.0998462387152,0.271596817631897,-0.354913954685818,1.26071475877396
"WGHTS_PROV_COMQuebec",1.25459845845171,0.430982025209194,2.91102269947973,0.00366209694567919,0.409124972560579,2.10007194434284
"Race7South Asian",0.851261033935575,0.896979328947532,0.949030826534654,0.342776183775799,-0.908376713484291,2.61089878135544
"Race7Black",-0.0210722522882188,0.995781487898555,-0.0211615224266606,0.983119960906995,-1.97453387368832,1.93238936911188
"Race7Asian",0.490330987374105,0.706916860849831,0.693619030086008,0.488041458812906,-0.896454139657158,1.87711611440537
"Race7Arab",-0.774709368347702,1.20160813592057,-0.644727132905259,0.519214467788542,-3.13194878885205,1.58253005215664
"Race7Latin American",2.42452440285522,1.46422808275804,1.65583793358774,0.0979889565633582,-0.447906345662048,5.29695515137248
"Race7Other",1.86152437092179,1.19185099763484,1.56187675692338,0.11855332421462,-0.476574108113457,4.19962284995704
"CD4nv",-51.8143824621133,6.77342077769544,-7.6496624324205,3.83119914938713e-14,-65.1020542009657,-38.5267107232609
"CD8nv",-47.8097052156737,7.87923449020928,-6.06781093710079,1.68497079775535e-09,-63.2666928878564,-32.3527175434909
"Mono",-27.8119207044784,6.8349540208489,-4.06907209904306,4.995869512004e-05,-41.2203044975328,-14.403536911424
"Treg",-31.70437064715,11.6579037401987,-2.71956016739331,0.00662139205604508,-54.5741144807237,-8.8346268135762
"CD4mem",-33.2360063424501,6.2662922898385,-5.30393489565528,1.32462556834169e-07,-45.5288252444238,-20.9431874404764
"CD8mem",-38.0728390570522,6.28836332189486,-6.05449098726372,1.82642333321407e-09,-50.4089555243961,-25.7367225897082
"NK",-49.473844018165,7.04345536037245,-7.0240871116345,3.4185091962724e-12,-63.2912526522308,-35.6564353840993
"Bmem",-34.7740136080489,7.35541527949586,-4.72767509198098,2.51087220399802e-06,-49.2034056308687,-20.3446215852291
"Bnv",-47.9005068474067,7.56562709537613,-6.33133331097986,3.30968772357148e-10,-62.7422792163941,-33.0587344784193
