"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",39.3032788166529,9.54654068356289,4.11701789364652,4.07277078928924e-05,20.5754745050561,58.0310831282496
"grtcc10_03_COM",-0.0203387996235471,0.0214082865322661,-0.950043320510163,0.342261682207059,-0.0623362324227586,0.0216586331756644
"SEX_ASK_COMFemale",-0.562632863334621,0.291179332289898,-1.93225548980401,0.0535387053038663,-1.13385020116002,0.00858447449077215
"AGE_NMBR_COM",0.367224581621437,0.157526371230214,2.33119431847233,0.0198908982615631,0.0581992338957565,0.676249929347118
"I(AGE_NMBR_COM^2)",-0.00412583664791282,0.00121794475328563,-3.38754006434416,0.000725689457001791,-0.00651512421897426,-0.00173654907685139
"WGHTS_PROV_COMBritish Columbia",0.0624135768686409,0.638462670041761,0.0977560314756672,0.922140652338905,-1.19008241525435,1.31490956899164
"WGHTS_PROV_COMManitoba",0.256160518574865,0.556392270240595,0.460395537961187,0.645307092588017,-0.835334914476809,1.34765595162654
"WGHTS_PROV_COMNova Scotia",0.58605542929038,0.774685345296505,0.756507700640797,0.44947793626685,-0.93367365694864,2.1057845155294
"WGHTS_PROV_COMOntario",-0.28288635931679,0.550370601488576,-0.513992496241029,0.607342047393555,-1.36256886056886,0.79679614193528
"WGHTS_PROV_COMQuebec",-0.435346069021607,0.57602807760959,-0.755772306843467,0.44991865275148,-1.56536179650202,0.694669658458801
"Race7South Asian",1.2462828536528,1.1988557487018,1.0395603099058,0.298731898982727,-1.10555710636304,3.59812281366863
"Race7Black",0.659405044414119,1.3309095568777,0.495454436408945,0.620360675822408,-1.95148978794699,3.27029987677523
"Race7Asian",0.764688099141553,0.944828175113526,0.809340914341035,0.418462868760423,-1.08881651138982,2.61819270967293
"Race7Arab",1.44066973921959,1.60600671046177,0.897050883931463,0.369853018833985,-1.70989342220131,4.5912329006405
"Race7Latin American",0.595073738151323,1.95701082262931,0.304072788596959,0.761119683060067,-3.24406725927647,4.43421473557912
"Race7Other",0.353758791161613,1.5929658287522,0.222075567960373,0.824288922318284,-2.77122158704988,3.4787391693731
"CD4nv",-85.3231849709959,9.0530006385369,-9.42485131479957,1.82348167043389e-20,-103.082793399963,-67.5635765420289
"CD8nv",-121.705689426952,10.5309735231473,-11.556926732314,1.62440223127291e-29,-142.364692293999,-101.046686559905
"Mono",-23.6026714378815,9.13524275929719,-2.58369394878537,0.00988000665066817,-41.5236172973191,-5.68172557844399
"Treg",-56.6702346660214,15.5813455959441,-3.63705652487247,0.000286240005535557,-87.2367404721114,-26.1037288599313
"CD4mem",-33.6819006464759,8.3751991738018,-4.02162383813333,6.10252826338043e-05,-50.1118407050425,-17.2519605879092
"CD8mem",-60.3200609304657,8.40469816313926,-7.17694553208505,1.17733236192986e-12,-76.8078702547711,-43.8322516061604
"NK",-47.8611480721704,9.41391476592317,-5.08408555444117,4.21770277802286e-07,-66.3287751829849,-29.3935209613559
"Bmem",-30.0937370146594,9.83086410949888,-3.06114871281579,0.00224878159109802,-49.3793091773166,-10.8081648520023
"Bnv",-54.9124752980727,10.1118222495363,-5.43052220885221,6.6653397746826e-08,-74.7492135051412,-35.0757370910043
