"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.454060401220659,0.19283017191891,2.35471657107479,0.0186805394217185,0.0757782731942455,0.832342529247073
"grtcc10_04_COM",-0.000710385632318729,0.000456290918690504,-1.55686997750787,0.119737668316806,-0.00160550851689489,0.000184737252257427
"SEX_ASK_COMFemale",-0.01961885528754,0.00588525006573198,-3.33356358156718,0.000880837916496792,-0.0311641694708872,-0.00807354110419274
"AGE_NMBR_COM",0.00245772400569275,0.00318165497712281,0.772467166730719,0.43997410768943,-0.0037838470275892,0.0086992950389747
"I(AGE_NMBR_COM^2)",4.28998549681798e-06,2.4599454596289e-05,0.174393520800463,0.861582569000862,-4.39676805124544e-05,5.25476515060903e-05
"WGHTS_PROV_COMBritish Columbia",-0.00526032655500527,0.0131504361309308,-0.400011566356541,0.689211800796315,-0.0310580267519219,0.0205373736419113
"WGHTS_PROV_COMManitoba",0.0201989404812595,0.0112498410548283,1.79548674357406,0.0728015946235522,-0.00187029158875576,0.0422681725512747
"WGHTS_PROV_COMNova Scotia",0.0294992066743345,0.0159999638169552,1.84370458657377,0.0654470474012254,-0.00188851808260155,0.0608869314312706
"WGHTS_PROV_COMOntario",0.0129799008905148,0.0112401272832059,1.1547823759886,0.248385597166892,-0.00907027531202957,0.0350300770930592
"WGHTS_PROV_COMQuebec",0.0239205183288664,0.0117963497148475,2.027789859329,0.0427793915385047,0.000779179871973672,0.047061856785759
"Race7South Asian",0.0421313511288595,0.0242237508770577,1.73925794327591,0.082219206563232,-0.00538928290557228,0.0896519851632913
"Race7Black",0.056854600414793,0.0268905113377499,2.11429971340777,0.0346741028325535,0.00410248309136872,0.109606717738217
"Race7Asian",0.063932428729816,0.0190951810941118,3.34809229693717,0.000836297098186667,0.0264727009940136,0.101392156465618
"Race7Arab",0.0158055024031135,0.0324502029179988,0.487069447394637,0.626288839025091,-0.0478532689009518,0.0794642737071788
"Race7Latin American",0.0999818952927885,0.0395102808456398,2.53052859035352,0.0115028643428303,0.0224731062455275,0.177490684340049
"Race7Other",0.0684314335552378,0.0321643226845574,2.12755711433317,0.0335561184611077,0.00533348414948177,0.131529382960994
"CD4nv",0.0448807437615619,0.182932018750932,0.245341105772568,0.806229922286508,-0.313983808650759,0.403745296173882
"CD8nv",-0.379364043320625,0.212752727984487,-1.78312187540217,0.07479293283572,-0.796728991370562,0.0380009047293116
"Mono",0.757215099383587,0.184567436110917,4.10264733226578,4.33089888899495e-05,0.395142287843612,1.11928791092356
"Treg",-0.178310118936136,0.314736995576792,-0.566536890934483,0.571123806427018,-0.795741401969458,0.439121164097186
"CD4mem",0.248744884117644,0.169215505649701,1.46998871742037,0.141799731924358,-0.0832114738280039,0.580701242063291
"CD8mem",0.210393566332621,0.16981342934101,1.23896895050697,0.21557413095075,-0.122735760781155,0.543522893446398
"NK",-0.0806591026218132,0.190204466956051,-0.42406523838607,0.671586352970913,-0.45379028745798,0.292472082214354
"Bmem",0.196427542587051,0.198613550607112,0.988993661241245,0.322844920171554,-0.193200054748364,0.586055139922466
"Bnv",0.958775757611909,0.204313602561878,4.69266728005315,2.97306183313821e-06,0.557966156123032,1.35958535910079
