"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.925464034897426,0.026379479512023,35.0827253614168,1.37683467680221e-191,0.873714252250125,0.977213817544728
"grtcc10_01_COM",8.4085900376052e-05,4.21797531343526e-05,1.99351333584666,0.0464086140923008,1.34002755378004e-06,0.000166831773198324
"SEX_ASK_COMFemale",-0.0110177948367667,0.000805035918059792,-13.6860910048841,5.39160269676663e-40,-0.0125970691269921,-0.00943852054654132
"AGE_NMBR_COM",-0.000552445959525982,0.000434766026711782,-1.27067416859646,0.204066138262603,-0.00140534555424737,0.000300453635195408
"I(AGE_NMBR_COM^2)",-7.70108929892805e-06,3.36165117728262e-06,-2.29086508171059,0.0221265730194642,-1.42957879426648e-05,-1.10639065519124e-06
"WGHTS_PROV_COMBritish Columbia",-0.00383703612758646,0.00156087337316896,-2.4582622738937,0.0140874739881549,-0.0068990699241456,-0.000775002331027315
"WGHTS_PROV_COMManitoba",-0.00392132673489099,0.00153178341910313,-2.5599746582888,0.0105773622584964,-0.00692629349191888,-0.000916359977863094
"WGHTS_PROV_COMNova Scotia",-0.00510357778923292,0.0017652220661241,-2.89118173128147,0.00390014360853804,-0.00856649138479904,-0.0016406641936668
"WGHTS_PROV_COMOntario",-0.00367429987938677,0.00140542158717861,-2.61437558160959,0.0090397554072372,-0.00643137708521907,-0.000917222673554466
"WGHTS_PROV_COMQuebec",-0.00322710260267064,0.00141335240213699,-2.28329650679565,0.0225695773551923,-0.00599973803625816,-0.000454467169083123
"Race7South Asian",-0.00483090893273789,0.00330827500816434,-1.46025010641979,0.144456809600766,-0.0113208972030514,0.00165907933757559
"Race7Black",-0.000697895898016179,0.00365558079699816,-0.190912453252098,0.848623233567586,-0.00786920917613008,0.00647341738009772
"Race7Asian",-0.00253063460742661,0.0026044157158934,-0.971670763612527,0.331390512383049,-0.00763983121455723,0.00257856199970401
"Race7Arab",0.00372545916939657,0.00443278748927331,0.840432612303573,0.400816475836224,-0.00497053458540892,0.0124214529242021
"Race7Latin American",-0.00744075143339144,0.00539078997338216,-1.38027106790123,0.167734448079236,-0.0180161007041241,0.00313459783734121
"Race7Other",-0.00504273482050734,0.00438999118321704,-1.14868905427094,0.250890145651084,-0.0136547731835656,0.00356930354255093
"CD4nv",0.104754791014969,0.0250393985401336,4.18359853360959,3.05681242598495e-05,0.0556339040209519,0.153875678008986
"CD8nv",0.0876021787130909,0.0291137563066724,3.00896173583118,0.00267058146521983,0.0304884452813861,0.144715912144796
"Mono",-0.0695040649371407,0.0252601066820033,-2.75153489302796,0.00601196261127298,-0.11905792477905,-0.0199502050952309
"Treg",-0.0263029130799327,0.0430073065456995,-0.611591731558061,0.540912119607986,-0.110672233747213,0.0580664075873476
"CD4mem",0.0379746393281301,0.0231495963894977,1.64040178883456,0.101157403503344,-0.00743893985121851,0.0833882185074786
"CD8mem",-0.0509403883434349,0.0232332534692689,-2.19256370662055,0.0285110511074848,-0.0965180812875412,-0.00536269539932847
"NK",0.0545148220055256,0.0260171346414459,2.09534304053154,0.0363286417926832,0.00347586719268475,0.105553776818366
"Bmem",-0.137115189792816,0.027172049157537,-5.04618510727165,5.12934473136164e-07,-0.190419791096396,-0.0838105884892369
"Bnv",0.00413842035741034,0.0279464055575195,0.148084173075232,0.882298719288019,-0.0506852698793825,0.0589621105942031
