"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.434179406232459,0.193466421799064,2.24421066040805,0.0249822728687546,0.0546478361311762,0.813710976333742
"grtcc10_01_COM",-0.000382623339179447,0.00030934522068761,-1.23688136616093,0.216348827531743,-0.000989479434511773,0.000224232756152878
"SEX_ASK_COMFemale",-0.0192191666319429,0.00590411264239565,-3.25521679480433,0.0011614914156105,-0.0308015235101332,-0.00763680975375259
"AGE_NMBR_COM",0.00269646203433904,0.00318856281714689,0.845666900409954,0.39789024957796,-0.00355868157717207,0.00895160564585015
"I(AGE_NMBR_COM^2)",2.47309824956576e-06,2.46542629587919e-05,0.100311181628078,0.920112353476364,-4.58922513724918e-05,5.08384478716234e-05
"WGHTS_PROV_COMBritish Columbia",-0.0114520077997693,0.0114474050274874,-1.00040207997104,0.317297390065214,-0.0339088846224564,0.0110048690229178
"WGHTS_PROV_COMManitoba",0.0178753468197136,0.0112340600552771,1.59117422657152,0.111807299157909,-0.0041630018081415,0.0399136954475686
"WGHTS_PROV_COMNova Scotia",0.0196780757144689,0.0129460930667009,1.52000110095637,0.128747667182232,-0.00571884320609434,0.0450749946350322
"WGHTS_PROV_COMOntario",0.00854718348038832,0.0103073256417619,0.829233865063692,0.407120436770288,-0.0116731495778522,0.0287675165386288
"WGHTS_PROV_COMQuebec",0.0178003826643774,0.0103654900339459,1.71727362682159,0.0861612881606063,-0.00253405403461019,0.038134819363365
"Race7South Asian",0.0422926720825188,0.0242628035122949,1.74310738909819,0.0815452564714871,-0.0053047343637752,0.0898900785288128
"Race7Black",0.0602630866988782,0.0268099352024845,2.24778934539512,0.0247524323076492,0.00766886023264071,0.112857313165116
"Race7Asian",0.0651999576256579,0.0191007176317294,3.41348209437692,0.000660610185106948,0.0277292415943213,0.102670673656995
"Race7Arab",0.0154553011315215,0.0325099490213405,0.475402195228796,0.634578161034419,-0.0483208925936974,0.0792314948567405
"Race7Latin American",0.104230713208774,0.039535914510564,2.63635518487686,0.00847745668886496,0.0266713746421622,0.181790051775385
"Race7Other",0.0676334063754095,0.0321960820174388,2.10067194942467,0.0358570634920948,0.00447293932609676,0.130793873424722
"CD4nv",0.0398534748184011,0.183638302543174,0.217021581372063,0.828224711482082,-0.320397842422236,0.400104792059038
"CD8nv",-0.36617685528843,0.213519537230243,-1.71495714180746,0.086585325844134,-0.785047501981114,0.0526937914042547
"Mono",0.758976668047418,0.185256970358435,4.09688589087337,4.43965058040832e-05,0.395549939116807,1.12240339697803
"Treg",-0.193034659678345,0.315414476044522,-0.612003171506617,0.540639950870792,-0.811797079599372,0.425727760242682
"CD4mem",0.24702137253515,0.16977854235249,1.45496226503283,0.145914967777936,-0.086040644890653,0.580083389960954
"CD8mem",0.212923184553259,0.170392081216065,1.24960727654511,0.21166223773152,-0.121342438986956,0.547188808093474
"NK",-0.079706639828545,0.190808993871577,-0.417729993808316,0.676211765498297,-0.454025016940724,0.294611737283634
"Bmem",0.207630098630628,0.199279107120404,1.04190600625874,0.297644043330266,-0.183304471360756,0.598564668622013
"Bnv",0.948321311962763,0.204958216969161,4.62690067266466,4.07275555337509e-06,0.546245782947931,1.35039684097759
