"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",30.5025389309833,7.16442187784738,4.25750178465873,2.21191013978527e-05,16.447778115737,44.5572997462296
"grtcc10_01_COM",-0.00894919732698701,0.0114556295934583,-0.781205192955736,0.434820432665757,-0.0314222086416821,0.0135238139877081
"SEX_ASK_COMFemale",-2.00542046500483,0.218640285953019,-9.17223674613995,1.70610240388997e-19,-2.43433670919591,-1.57650422081374
"AGE_NMBR_COM",0.203835163053249,0.118078418950571,1.72626941370697,0.0845304888755543,-0.0278044533858875,0.435474779492386
"I(AGE_NMBR_COM^2)",-0.00184820563426003,0.000912993269228001,-2.02433653845314,0.0431344751699844,-0.00363926459808319,-5.71466704368652e-05
"WGHTS_PROV_COMBritish Columbia",0.293853459195927,0.423918725848412,0.693183483715709,0.488315076564302,-0.537766509377667,1.12547342776952
"WGHTS_PROV_COMManitoba",0.533998510727695,0.41601816423044,1.28359421929448,0.199506891694908,-0.282122579396257,1.35011960085165
"WGHTS_PROV_COMNova Scotia",0.502971845156922,0.47941793483963,1.04913022355989,0.294308216603935,-0.437523357330354,1.4434670476442
"WGHTS_PROV_COMOntario",0.238908734395476,0.381699463107006,0.625907965525485,0.531482380689592,-0.509887853625772,0.987705322416723
"WGHTS_PROV_COMQuebec",0.979940915908681,0.383853398864952,2.55290410038403,0.0107934254563039,0.226918857583549,1.73296297423381
"Race7South Asian",0.873768313769751,0.898496796937393,0.972477939540874,0.330989131093207,-0.888852284169443,2.63638891170894
"Race7Black",0.122192056197785,0.992821826765598,0.123075513554995,0.90206584055209,-1.82547009229911,2.06985420469468
"Race7Asian",0.540147226039101,0.707335143798113,0.763636913526905,0.445218677339253,-0.847463167625675,1.92775761970388
"Race7Arab",-0.767851018374293,1.20390395320436,-0.63780089460671,0.5237127551569,-3.12960223784612,1.59390020109754
"Race7Latin American",2.60826397029181,1.46408853922143,1.78149333214426,0.0750593445050383,-0.263902770017909,5.48043071060153
"Race7Other",1.80146132289009,1.19228087355789,1.51093703073031,0.131041325340028,-0.53748839114935,4.14041103692953
"CD4nv",-51.910937436122,6.80046831960087,-7.63343566890827,4.33310124511642e-14,-65.2517145837078,-38.5701602885362
"CD8nv",-47.1935753481813,7.90702608574116,-5.96856198985938,3.06324083634548e-09,-62.7051354279453,-31.6820152684173
"Mono",-27.6071134861696,6.86041060312884,-4.02411970408576,6.0401687184298e-05,-41.0654820419764,-14.1487449303628
"Treg",-31.8406618334938,11.6803854216633,-2.72599410756086,0.00649471980731958,-54.7545865200021,-8.92673714698555
"CD4mem",-33.1467051104518,6.28721558970344,-5.27208024562354,1.57180883847544e-07,-45.4806118532133,-20.8127983676903
"CD8mem",-37.8717909655518,6.30993607637099,-6.00192941848832,2.5088626286228e-09,-50.2502694841192,-25.4933124469844
"NK",-49.3119036436254,7.0660123729553,-6.97874572543398,4.67908036083094e-12,-63.1736102143302,-35.4501970729207
"Bmem",-34.3507459758251,7.37967643984318,-4.65477670407933,3.56639440469601e-06,-48.8277811119899,-19.8737108396603
"Bnv",-48.168172128446,7.58998445334121,-6.34628073674667,3.01568195205332e-10,-63.0577777242572,-33.2785665326348
