"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",37.1724655421038,9.52034565173483,3.90452898475699,9.91293621241776e-05,18.4959856676653,55.8489454165423
"grtcc10_01_COM",-0.0174495539393041,0.0152226593083787,-1.14628814754461,0.251881517256443,-0.047312512765443,0.0124134048868349
"SEX_ASK_COMFemale",-0.539422137023323,0.290537203302201,-1.85663705333546,0.0635831310831425,-1.10938171924295,0.0305374451963013
"AGE_NMBR_COM",0.397190326629783,0.156906918881438,2.53137547701073,0.0114756865869262,0.0893791378505898,0.705001515408976
"I(AGE_NMBR_COM^2)",-0.00436453747533802,0.00121321882616013,-3.59748578016374,0.000333053047046382,-0.00674456208987926,-0.00198451286079678
"WGHTS_PROV_COMBritish Columbia",-0.0502773814593158,0.563318697186006,-0.0892521084609311,0.928894951332457,-1.15536439150629,1.05480962858766
"WGHTS_PROV_COMManitoba",0.173111076698225,0.5528201421416,0.313141768003605,0.754221907467711,-0.911380457179057,1.25760261057551
"WGHTS_PROV_COMNova Scotia",0.435949655987041,0.637068074596066,0.684306235661637,0.493900670518643,-0.813814744286868,1.68571405626095
"WGHTS_PROV_COMOntario",-0.30171051289808,0.507216197736271,-0.594836115732558,0.552053901827417,-1.29673878766292,0.693317761866761
"WGHTS_PROV_COMQuebec",-0.539980103593362,0.510078426298032,-1.05862172511852,0.289963736331546,-1.54062333773944,0.460663130552711
"Race7South Asian",1.25904911270083,1.19395538393263,1.05451939799777,0.291836134825614,-1.08318556182822,3.60128378722988
"Race7Black",0.759021634811358,1.31929793115914,0.575322386918686,0.565170308634756,-1.82910301538892,3.34714628501163
"Race7Asian",0.818837477111927,0.939932792260542,0.871165985328185,0.383820276983854,-1.02506993131078,2.66274488553464
"Race7Arab",1.41370618044453,1.59979157584718,0.88368147562966,0.377027409202327,-1.72467516227084,4.55208752315991
"Race7Latin American",0.821210086468889,1.94553436352349,0.422100016255496,0.673020032062373,-2.99543005608241,4.63785022902019
"Race7Other",0.307652475138522,1.58434640278804,0.194182581913357,0.846062486010507,-2.80042939376063,3.41573434403767
"CD4nv",-84.4271489843987,9.03671086099207,-9.34268566108909,3.80850252970853e-20,-102.154861265064,-66.6994367037334
"CD8nv",-120.34768163492,10.5071452654541,-11.4538895765157,4.86847399044986e-29,-140.960009618232,-99.7353536516086
"Mono",-22.3721473349076,9.11636435824146,-2.45406463100419,0.0142522319996582,-40.2561193767965,-4.4881752930186
"Treg",-56.2517099240816,15.5213230677491,-3.6241568891098,0.000300804245213725,-86.7005705541208,-25.8028492940425
"CD4mem",-32.903398086231,8.35468187405751,-3.93831848803254,8.62958220659834e-05,-49.2931441717356,-16.5136520007265
"CD8mem",-59.435383368592,8.38487368717778,-7.08840533393855,2.19224244742198e-12,-75.884358058891,-42.986408678293
"NK",-46.8541527719442,9.38957550475541,-4.99001821202828,6.83354006358913e-07,-65.2740951100808,-28.4342104338076
"Bmem",-29.1096432914548,9.80638378129408,-2.96843810528628,0.00304657961946229,-48.3472567177052,-9.87202986520434
"Bnv",-54.6311605024555,10.0858487564126,-5.41661508335836,7.19732553561255e-08,-74.4170126349823,-34.8453083699287
