"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.897371819734692,0.0256212633579772,35.0244953653035,1.93964110950061e-194,0.847112407597506,0.947631231871877
"GRUMPYY_06_COM",3.68200607683738e-06,1.76738155800727e-05,0.208331135976595,0.835000173017139,-3.09874623589929e-05,3.83514745126676e-05
"SEX_ASK_COMFemale",-0.0113116887919799,0.00078994410982667,-14.3196064775544,1.48203141333009e-43,-0.0128612660328211,-0.00976211155113866
"AGE_NMBR_COM",-0.000288187836944228,0.000431780406406793,-0.667440746889098,0.504598638707334,-0.00113518078554151,0.00055880511165305
"I(AGE_NMBR_COM^2)",-9.80967530146608e-06,3.33360473257391e-06,-2.94266299948883,0.00330661557964743,-1.63489708785805e-05,-3.27037972435165e-06
"WGHTS_PROV_COMBritish Columbia",-0.00188579106705187,0.00135462325306082,-1.39211479117227,0.164104701547148,-0.00454305926709952,0.000771477132995781
"WGHTS_PROV_COMManitoba",-0.00406437798061729,0.00157205907679964,-2.58538501548648,0.0098255063445152,-0.00714817458896356,-0.000980581372271029
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00254218101687426,0.00170263179306448,-1.49308912662715,0.135635068704378,-0.0058821128465379,0.000797750812789388
"WGHTS_PROV_COMNova Scotia",-0.00345593719337139,0.00156976979698729,-2.20155668684927,0.0278563205447169,-0.00653524308414536,-0.000376631302597425
"WGHTS_PROV_COMOntario",-0.00275547985818548,0.0013592279197538,-2.02723900689487,0.0428236774258339,-0.00542178070575887,-8.91790106120906e-05
"WGHTS_PROV_COMQuebec",-0.00239759228923767,0.0013813529889169,-1.73568400580766,0.0828357364429811,-0.00510729431317365,0.000312109734698318
"Race7South Asian",-0.00491898131574587,0.00338253235316801,-1.45423038190273,0.146102501159675,-0.0115542547302516,0.00171629209875983
"Race7Black",-0.000821926291375471,0.00373043412630698,-0.220329930390475,0.825645750210519,-0.00813965389852368,0.00649580131577274
"Race7Asian",-0.00242204871545416,0.00265216464297475,-0.913234674879577,0.361273503382773,-0.0076246116798381,0.00278051424892979
"Race7Arab",0.00334470982518835,0.00452170006687289,0.739701832435224,0.45960268847398,-0.00552518796425641,0.0122146076146331
"Race7Latin American",-0.0068551247640272,0.00551104729458275,-1.24388784882424,0.213745274784546,-0.0176657547246188,0.00395550519656441
"Race7Other",-0.0031957732435654,0.00424507028252267,-0.752819866545597,0.451682424030237,-0.0115230260374522,0.00513147955032143
"CD4nv",0.121177896279575,0.0243797025454656,4.97044195078224,7.48847583722424e-07,0.0733539657850215,0.169001826774128
"CD8nv",0.118521146061782,0.0284198684285289,4.17036223654035,3.22451595123181e-05,0.0627719091768923,0.174270382946672
"Mono",-0.0473114310563125,0.0246414195111648,-1.91999616884393,0.0550576806945099,-0.0956487531295163,0.00102589101689127
"Treg",-0.0139236340026447,0.0423590541990179,-0.328705025783308,0.742426919016509,-0.0970163813424035,0.0691691133371142
"CD4mem",0.0605636921492324,0.0226181069546045,2.67766406228365,0.00749884910304092,0.0161953585775594,0.104932025720905
"CD8mem",-0.0308398699905582,0.0226069224326077,-1.36417816633349,0.172726758123296,-0.0751862636800034,0.013506523698887
"NK",0.0719535443471037,0.0251580120850214,2.86006478190475,0.00429724366091144,0.0226028593216635,0.121304229372544
"Bmem",-0.10618545500079,0.0265411419727557,-4.00078697102743,6.63722353516705e-05,-0.158249327666341,-0.0541215823352387
"Bnv",0.0254884853137984,0.0273862958679127,0.930702181731052,0.352165171194956,-0.0282332657062494,0.0792102363338463
