"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.432121181291027,0.183497831276517,2.35491165364158,0.0186620016605435,0.0721665217744118,0.792075840807643
"GRUMPYY_06_COM",-2.99350237822156e-05,0.000126578724242133,-0.236493328254381,0.813083848602199,-0.000278235514690826,0.000218365467126395
"SEX_ASK_COMFemale",-0.0231127395213234,0.00565752862993471,-4.08530668303311,4.64682700549409e-05,-0.0342107115111115,-0.0120147675315353
"AGE_NMBR_COM",0.00297730636228236,0.00309238334801595,0.962786959835552,0.335817677037535,-0.00308880236165427,0.00904341508621899
"I(AGE_NMBR_COM^2)",9.31298371305006e-07,2.38750615148722e-05,0.0390071611218628,0.968890139261219,-4.59027136643668e-05,4.77653104069768e-05
"WGHTS_PROV_COMBritish Columbia",-0.0196180153487998,0.00970172413672214,-2.02211638594663,0.0433507316679375,-0.0386491983555106,-0.00058683234208895
"WGHTS_PROV_COMManitoba",0.0205925258932169,0.0112589854450516,1.8289859236178,0.0676104650164416,-0.00149342599069887,0.0426784777771328
"WGHTS_PROV_COMNewfoundland and Labrador",0.0153556998559848,0.012194138794975,1.25926890895425,0.208139302416347,-0.00856467591907912,0.0392760756310487
"WGHTS_PROV_COMNova Scotia",0.0130072564610955,0.0112425897710802,1.15696265059449,0.247481388173327,-0.00904653319397631,0.0350610461161673
"WGHTS_PROV_COMOntario",0.0037476006863598,0.00973470246179954,0.384973315935024,0.700314595269853,-0.015348273557801,0.0228434749305206
"WGHTS_PROV_COMQuebec",0.0129855933404187,0.00989316077634661,1.31258286749627,0.189534757494885,-0.00642111732215419,0.0323923040029915
"Race7South Asian",0.0413360044788923,0.0242254779694825,1.70630294811786,0.0881694251891079,-0.00618539462141568,0.0888574035792002
"Race7Black",0.0620579522557372,0.0267171279703549,2.32277781970413,0.0203312192716055,0.00964886036113635,0.114467044150338
"Race7Asian",0.0639803505059433,0.0189946316609951,3.36833857312038,0.000776387586414386,0.0267199309979119,0.101240770013975
"Race7Arab",0.0181979050390107,0.032384123466563,0.561939095180397,0.574245826290126,-0.0453277293243992,0.0817235394024205
"Race7Latin American",0.105896524154248,0.0394697643316404,2.68297837464809,0.00738132494279432,0.0284714914856744,0.183321556822821
"Race7Other",0.0552162753550743,0.0304029188403301,1.81615047045512,0.0695571949913383,-0.00442297064228593,0.114855521352435
"CD4nv",0.0410472316097043,0.17460585302741,0.235085083907586,0.814176448203082,-0.301464665881766,0.383559129101175
"CD8nv",-0.390148590361914,0.203541259809709,-1.9168034565899,0.0554625698402679,-0.789421019701862,0.00912383897803332
"Mono",0.763610094751698,0.176480253010857,4.32688689937861,1.61762565485116e-05,0.41742131997429,1.10979886952911
"Treg",-0.0762969484123223,0.303372806869189,-0.25149567358956,0.801467143683459,-0.671401831361277,0.518807934536633
"CD4mem",0.205715537519295,0.161989419325727,1.26993193984876,0.204316058042932,-0.112047598279402,0.523478673317991
"CD8mem",0.199552600089065,0.161909316502474,1.23249609349081,0.217966987600058,-0.11805340369194,0.517158603870071
"NK",-0.0705817817381425,0.180180055617457,-0.391729159458114,0.695316872706938,-0.424028196446622,0.282864632970337
"Bmem",0.173077420703849,0.190085942428224,0.910521938092303,0.362701196541677,-0.199800668424841,0.545955509832538
"Bnv",0.95165365294571,0.196138879970351,4.85193783654504,1.35682381169917e-06,0.566901946254924,1.3364053596365
