"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",26.6782015228819,6.75352532240293,3.95026304771294,8.18799766713514e-05,13.4302906835483,39.9261123622156
"GRUMPYY_06_COM",-0.00217884806080714,0.00465865244019426,-0.467699208897472,0.640071172012916,-0.0113173955915919,0.00695969946997763
"SEX_ASK_COMFemale",-2.23218972222474,0.208221877058082,-10.7202458923281,7.65725333059251e-26,-2.64064378589924,-1.82373565855023
"AGE_NMBR_COM",0.222184170279604,0.113813275623577,1.95218149255672,0.0511121295878628,-0.00107524696015784,0.445443587519365
"I(AGE_NMBR_COM^2)",-0.00196803209661487,0.000878707020093547,-2.23969087717696,0.0252645949022974,-0.00369172923260991,-0.000244334960619838
"WGHTS_PROV_COMBritish Columbia",0.132844046503234,0.357066016380246,0.372043376880107,0.709915832072559,-0.56758699105723,0.833275084063698
"WGHTS_PROV_COMManitoba",0.651719498452382,0.414380065305177,1.57275784483602,0.115996731518716,-0.161140437165213,1.46457943406998
"WGHTS_PROV_COMNewfoundland and Labrador",0.766042507837996,0.448797811744483,1.70687665534816,0.0880626854944146,-0.11433227585549,1.64641729153148
"WGHTS_PROV_COMNova Scotia",0.395624366352147,0.413776632563914,0.956130277103159,0.339168479541479,-0.416051858126129,1.20730059083042
"WGHTS_PROV_COMOntario",0.132608378411184,0.358279763441731,0.370125225989078,0.711344150900584,-0.570203580532474,0.835420337354842
"WGHTS_PROV_COMQuebec",0.785107791333906,0.364111724682877,2.15622771284747,0.0312326679811946,0.0708556883391328,1.49935989432868
"Race7South Asian",0.749471075176148,0.891603883141651,0.840587495576304,0.400719986031881,-0.999524920838201,2.4984670711905
"Race7Black",0.132474519615672,0.983307535759209,0.134723384900522,0.892849595613076,-1.79641001690486,2.06135905613621
"Race7Asian",0.43782703158546,0.699085787662183,0.626285127394164,0.531228174545933,-0.933519893445197,1.80917395661612
"Race7Arab",-0.799313972178121,1.19187783503382,-0.6706341444427,0.502562223204885,-3.13733604748262,1.53870810312638
"Race7Latin American",2.65486243524839,1.45266050845758,1.82758629410755,0.0678205404002991,-0.194718483924029,5.50444335442081
"Race7Other",1.52676570199812,1.11896081187858,1.36444966239246,0.172641365528676,-0.668220229172036,3.72175163316827
"CD4nv",-47.9966217613771,6.42626150760009,-7.46882486880021,1.40350522604784e-13,-60.6025624247692,-35.3906810979849
"CD8nv",-42.0403692452807,7.49121143675652,-5.61195870657243,2.4001926542099e-08,-56.7353465282615,-27.3453919622999
"Mono",-23.8555411358793,6.49524765127523,-3.6727685250301,0.000248806498454299,-36.5968070163883,-11.1142752553704
"Treg",-21.7418352047273,11.1654503983324,-1.94724211107279,0.0517017867597296,-43.6443060324341,0.160635622979616
"CD4mem",-31.1892837068044,5.96192139039,-5.23141478468306,1.93307383485009e-07,-42.8843613500315,-19.4942060635773
"CD8mem",-34.2091922961553,5.95897325502799,-5.74078634558238,1.14966319818373e-08,-45.8984867916849,-22.5198978006256
"NK",-46.5485605687275,6.63141662078153,-7.01939920692867,3.43531448043632e-12,-59.5569394429672,-33.5401816944878
"Bmem",-30.4529239658208,6.99599671936897,-4.35290712494324,1.43921990290124e-05,-44.1764737188694,-16.7293742127721
"Bnv",-44.0906683200641,7.21877137932707,-6.10778011980402,1.30054864369601e-09,-58.2512192971399,-29.9301173429884
