"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.896708147039758,0.0256272649860809,34.9903958743468,3.68776954251022e-194,0.84643696193509,0.946979332144425
"GRUMPYY_05_COM",2.38829397779657e-05,2.94399859897556e-05,0.811241546999254,0.417362350026914,-3.38673892553374e-05,8.16332688112689e-05
"SEX_ASK_COMFemale",-0.0113116751730667,0.000789634778742577,-14.3251987850377,1.38133937739708e-43,-0.0128606456210958,-0.00976270472503752
"AGE_NMBR_COM",-0.000263051768929357,0.000432863249750697,-0.607701783602233,0.543482041905544,-0.00111216885438675,0.000586065316528031
"I(AGE_NMBR_COM^2)",-9.99794985354761e-06,3.34146983303782e-06,-2.99208143515041,0.00281842371699476,-1.65526738394877e-05,-3.44322586760754e-06
"WGHTS_PROV_COMBritish Columbia",-0.00200675834541629,0.00136008439502691,-1.47546604663205,0.140308046392468,-0.004674739279687,0.000661222588854426
"WGHTS_PROV_COMManitoba",-0.00418343646444754,0.00157068653598419,-2.66344453116879,0.00782161242688064,-0.00726454065698453,-0.00110233227191055
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00282858739349139,0.00174079418109801,-1.6248832999357,0.104408409366763,-0.00624337966861855,0.000586204881635776
"WGHTS_PROV_COMNova Scotia",-0.003901680927358,0.00166835241491325,-2.33864313827296,0.0194914527703815,-0.00717436933618649,-0.000628992518529516
"WGHTS_PROV_COMOntario",-0.00274289818198736,0.0013521105552347,-2.0286049623444,0.0426840568397928,-0.00539523740121721,-9.05589627574993e-05
"WGHTS_PROV_COMQuebec",-0.00248968282295319,0.00138283645071132,-1.80041741138117,0.0720060042715492,-0.00520229484850282,0.000222929202596434
"Race7South Asian",-0.0048998199862937,0.00337214023318348,-1.45302972221532,0.146435514087135,-0.0115147079173053,0.00171506794471791
"Race7Black",-0.000584809207402354,0.00374155142586382,-0.1563012613858,0.875817686016635,-0.00792434483129324,0.00675472641648854
"Race7Asian",-0.0023207097505113,0.00265445453836668,-0.874269917592661,0.382118490460468,-0.00752776464000627,0.00288634513898367
"Race7Arab",0.00350099283417909,0.00452215426162969,0.774186954187936,0.438948575740958,-0.00536979591685308,0.0123717815852113
"Race7Latin American",-0.00668607275935937,0.00550570441143623,-1.21439006886591,0.224799868206586,-0.0174862219656529,0.00411407644693414
"Race7Other",-0.00309068606913267,0.00424625769840549,-0.727861163558973,0.466818070749464,-0.0114202681324001,0.00523889599413479
"CD4nv",0.120238111318592,0.0243956918801386,4.92866166327023,9.24780308311929e-07,0.0723828156821287,0.168093406955055
"CD8nv",0.118426228452398,0.0284116625609462,4.16822592477159,3.25451081965898e-05,0.0626930884349821,0.174159368469815
"Mono",-0.0481731023694318,0.0246550283503758,-1.95388549892694,0.0509100196657159,-0.0965371199357132,0.000190915196849654
"Treg",-0.0144309938838251,0.0423316082213644,-0.340903511351639,0.733226439661577,-0.0974699023990451,0.068607914631395
"CD4mem",0.059842407457266,0.0226279705843849,2.64462105579021,0.00826802482008394,0.0154547251037873,0.104230089810745
"CD8mem",-0.0314168000745218,0.0226103741781486,-1.38948607515235,0.164901896354701,-0.0757699648079749,0.0129363646589314
"NK",0.0713476642025067,0.0251514635890519,2.83672017534452,0.00462239958894992,0.0220098248963899,0.120685503508623
"Bmem",-0.106924675320499,0.0265485606201151,-4.02751308632097,5.93384056750882e-05,-0.159003100619538,-0.0548462500214601
"Bnv",0.0246132299478263,0.0273970854251319,0.89838862659632,0.369130059938322,-0.029129686180104,0.0783561460757566
