"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.436289792784858,0.183548320411209,2.37697513007705,0.0175865661068535,0.0762360923195793,0.796343493250136
"GRUMPYY_05_COM",-0.000156937688932719,0.000210855898367777,-0.744288825437489,0.456824388512399,-0.000570558725083657,0.00025668334721822
"SEX_ASK_COMFemale",-0.023107844844167,0.00565554449353828,-4.08587446718327,4.63560843522485e-05,-0.0342019246945438,-0.0120137649937903
"AGE_NMBR_COM",0.00281603033653119,0.00310026538152358,0.908319124328414,0.363863119016207,-0.00326554001257997,0.00889760068564235
"I(AGE_NMBR_COM^2)",2.14120203994253e-06,2.39323695248764e-05,0.0894688692532875,0.92872185680635,-4.48052270476645e-05,4.90876311275496e-05
"WGHTS_PROV_COMBritish Columbia",-0.0188060276769324,0.0097412348317416,-1.93055890775299,0.0537356905407542,-0.0379147160071343,0.000302660653269476
"WGHTS_PROV_COMManitoba",0.0213072425700912,0.0112496154282941,1.8940418635557,0.0584216617516832,-0.00076032881761862,0.043374813957801
"WGHTS_PROV_COMNewfoundland and Labrador",0.0171967345198003,0.012467965204078,1.3792735412973,0.16802669919069,-0.00726078706875733,0.0416542561083579
"WGHTS_PROV_COMNova Scotia",0.0158689607684652,0.0119491207422108,1.32804422273577,0.184376019454478,-0.00757078049912456,0.039308702036055
"WGHTS_PROV_COMOntario",0.00371234789626018,0.00968412437138301,0.383343682287923,0.701522094742365,-0.0152843109011118,0.0227090066936322
"WGHTS_PROV_COMQuebec",0.0136122539010542,0.00990419024696222,1.37439341951548,0.169535529001449,-0.00581609249046685,0.0330406002925754
"Race7South Asian",0.0412984663045568,0.0241520379302303,1.70993712513447,0.0874950384586629,-0.00607887068809562,0.0886758032972092
"Race7Black",0.0605424172428058,0.0267978451981695,2.25922706826224,0.0240197130602085,0.00797498809673442,0.113109846388877
"Race7Asian",0.063312475431103,0.019011809195782,3.3301657290538,0.000890115339164297,0.0260183599734108,0.100606590888795
"Race7Arab",0.017243204784046,0.0323887008548646,0.532383341379256,0.594543460295406,-0.0462914087168072,0.0807778182848991
"Race7Latin American",0.104906380126445,0.0394331114907726,2.66036272970733,0.00789318662469073,0.0275532467319023,0.182259513520989
"Race7Other",0.0545409620433677,0.0304126667047306,1.79336335655446,0.0731266747338361,-0.00511740564707688,0.114199329733812
"CD4nv",0.0469063761367689,0.174727512760368,0.268454437402191,0.788388371385223,-0.295844172609865,0.389656924883403
"CD8nv",-0.389657909126093,0.20349081128962,-1.91486734293623,0.0557093089587676,-0.788831377188159,0.00951555893597261
"Mono",0.769000960036726,0.176584939745233,4.35485019926501,1.42667962781402e-05,0.422606828729674,1.11539509134378
"Treg",-0.0734906841326548,0.303188638879602,-0.242392605488883,0.808510819485776,-0.668234297820145,0.521252929554835
"CD4mem",0.210233291104269,0.162066689415898,1.29720235454903,0.194771399415785,-0.107681419940875,0.528148002149413
"CD8mem",0.203143525829224,0.161940659938632,1.25443187588716,0.209890644767462,-0.114523962143786,0.520811013802233
"NK",-0.0669390049167949,0.180140522219657,-0.371593265590581,0.710250908495272,-0.420307869767352,0.286429859933762
"Bmem",0.17770639187985,0.190146849997608,0.934574471689038,0.350165865686866,-0.19529117530069,0.550703959060389
"Bnv",0.957114995765927,0.196224178299035,4.87766086759877,1.19389881184138e-06,0.572195965403546,1.34203402612831
