"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",0.89684152143503,0.0260289167053356,34.4555838257835,6.42256991777511e-189,0.845781639164306,0.947901403705754
"GRUMPYY_01_COM",-5.31114188638305e-06,2.31276136550356e-05,-0.229645045338547,0.818401146740431,-5.06796542911593e-05,4.00573705183932e-05
"SEX_ASK_COMFemale",-0.0112877671981363,0.000798267988546049,-14.1403229994173,1.5618077168964e-42,-0.0128536975046901,-0.00972183689158255
"AGE_NMBR_COM",-0.000294331972544623,0.000437570934117215,-0.672649734238925,0.501281156932884,-0.00115269732958369,0.000564033384494448
"I(AGE_NMBR_COM^2)",-9.83049899200267e-06,3.37531486854138e-06,-2.91246872510323,0.00364269126706879,-1.64517188362776e-05,-3.20927914772777e-06
"WGHTS_PROV_COMBritish Columbia",-0.00168826190349164,0.00137889602300456,-1.22435765665129,0.221023321215885,-0.00439318694494561,0.00101666313796234
"WGHTS_PROV_COMManitoba",-0.00396649062808308,0.00158637313099238,-2.50035162005156,0.0125206152441106,-0.00707841519347642,-0.000854566062689749
"WGHTS_PROV_COMNewfoundland and Labrador",-0.00228524485318654,0.00178986567887879,-1.2767689107364,0.201895573598002,-0.00579635259072931,0.00122586288435624
"WGHTS_PROV_COMNova Scotia",-0.00342643213886747,0.00173911892456549,-1.97021151944715,0.0490109482790082,-0.00683799200316637,-1.48722745685731e-05
"WGHTS_PROV_COMOntario",-0.00285259480736036,0.00136173337432351,-2.09482624216175,0.0363657782069041,-0.00552385256903359,-0.000181337045687125
"WGHTS_PROV_COMQuebec",-0.00245918490541288,0.0014051857889807,-1.75007812112642,0.0803238960417055,-0.00521568152669336,0.000297311715867594
"Race7South Asian",-0.00507566488859919,0.00339401546579525,-1.49547488505917,0.135015921197274,-0.0117335689447061,0.00158223916750767
"Race7Black",-0.000897400025789942,0.00374904292946964,-0.239367764699588,0.810855461008756,-0.00825174722255091,0.00645694717097102
"Race7Asian",-0.00404846061458306,0.00276907606773394,-1.46202578605798,0.143958567959175,-0.00948044611047544,0.00138352488130932
"Race7Arab",0.00321551332467181,0.00454146583263115,0.708034243386317,0.47904185067929,-0.00569329810900294,0.0121243247583466
"Race7Latin American",-0.00710570033053655,0.00553481791134629,-1.28381826545187,0.199417984387109,-0.0179631307085478,0.0037517300474747
"Race7Other",-0.00332021595832233,0.00426722060878624,-0.778074597663402,0.436656508631843,-0.0116910515322503,0.00505061961560566
"CD4nv",0.12269880993079,0.0247616743733846,4.95519035104808,8.10641123116336e-07,0.0741248261325382,0.171272793729042
"CD8nv",0.118432813915335,0.0288131518316864,4.11037343665721,4.17957556165737e-05,0.0619112092312327,0.174954418599437
"Mono",-0.0462776412732058,0.0249782143877638,-1.85272015664483,0.0641328080281593,-0.0952764029354875,0.00272112038907584
"Treg",-0.00681215197135859,0.0429496070281084,-0.158608016294546,0.874000587875834,-0.0910646740127209,0.0774403700700037
"CD4mem",0.0618809529818702,0.0229658043087019,2.69448228984617,0.00713410865894151,0.0168298554840466,0.106932050479694
"CD8mem",-0.0304522904063201,0.0229350052055603,-1.3277647043628,0.184472294560106,-0.0754429705384018,0.0145383897257615
"NK",0.0748088763081019,0.0255003527263013,2.93364084454186,0.00340465409335168,0.0247858568022623,0.124831895813942
"Bmem",-0.104496362987406,0.026858497469646,-3.89062579191191,0.000104680758606896,-0.157183600581413,-0.0518091253933976
"Bnv",0.0264095338658134,0.0278007329888726,0.94995818550482,0.34229745679747,-0.0281260493673022,0.080945117098929
