"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",27.4862175474451,6.84818273768895,4.01365129995361,6.29520934002165e-05,14.0524120489964,40.9200230458938
"GRUMPYY_01_COM",-0.00408991624299868,0.00608485271935607,-0.67214712198186,0.501600946861879,-0.0160263278502219,0.00784649536422457
"SEX_ASK_COMFemale",-2.1977762430645,0.210023533483824,-10.4644284695542,1.00048451620749e-24,-2.60977098780036,-1.78578149832865
"AGE_NMBR_COM",0.203663734352415,0.11512448833192,1.76907395901056,0.0770992208498363,-0.0221713584887792,0.429498827193609
"I(AGE_NMBR_COM^2)",-0.0018510323035119,0.000888042067930995,-2.08439709148524,0.0373049585355725,-0.00359306882210094,-0.000108995784922871
"WGHTS_PROV_COMBritish Columbia",0.157065515084332,0.362786206153253,0.432942356738842,0.665123335153105,-0.554597639603564,0.868728669772229
"WGHTS_PROV_COMManitoba",0.681727032664546,0.417373232016554,1.63337507144566,0.102614987444535,-0.137017301991083,1.50047136732017
"WGHTS_PROV_COMNewfoundland and Labrador",0.86230531013558,0.470911923982108,1.83113925602857,0.0672921838636464,-0.0614637299135445,1.7860743501847
"WGHTS_PROV_COMNova Scotia",0.518165664409406,0.457560502145531,1.13245278379513,0.257638038764486,-0.379412426748533,1.41574375556734
"WGHTS_PROV_COMOntario",0.133696467814886,0.358270729932666,0.373171617564217,0.709077212465782,-0.56910885821923,0.836501793849002
"WGHTS_PROV_COMQuebec",0.822909298227408,0.369703018081072,2.22586578410607,0.0261818817205036,0.0976777109104726,1.54814088554434
"Race7South Asian",0.744571615159905,0.892962176929316,0.833822119678471,0.404523468277708,-1.00711648397923,2.49625971429904
"Race7Black",0.125972152738201,0.986369558253105,0.127712936479206,0.898394493496332,-1.80894946117228,2.06089376664868
"Race7Asian",0.436913027979823,0.728541227477051,0.599709407651313,0.548796961767078,-0.992237087081304,1.86606314304095
"Race7Arab",-0.821974795834335,1.19485525544186,-0.687928342860545,0.491611866086334,-3.16587444268023,1.52192485101156
"Race7Latin American",2.61252802443318,1.45620522382184,1.79406582375563,0.0730183710791874,-0.244051376549522,5.46910742541587
"Race7Other",1.49229739358254,1.12270160306019,1.32920215800435,0.183997847340474,-0.710061326388898,3.69465611355399
"CD4nv",-48.0406495774384,6.51477250935022,-7.37411007191561,2.82104812461186e-13,-60.8204175990473,-35.2608815558295
"CD8nv",-43.151642049373,7.58071229878414,-5.69229385691025,1.52474544203641e-08,-58.0224214170292,-28.2808626817168
"Mono",-23.9435668709084,6.57174397709427,-3.64341139191718,0.00027887642157886,-36.8350935365182,-11.0520402052985
"Treg",-22.3487715140991,11.2999999489077,-1.9777673995706,0.0481507888457214,-44.5155283400618,-0.182014688136341
"CD4mem",-31.4012944817548,6.04228083728723,-5.19692734041354,2.32595744849328e-07,-43.2541945348444,-19.5483944286652
"CD8mem",-34.4693218932641,6.03417762312514,-5.71234790324455,1.35909678614735e-08,-46.3063261960305,-22.6323175904977
"NK",-46.408984236869,6.70911806750062,-6.91730027254655,6.98097963978913e-12,-59.5699921476111,-33.247976326127
"Bmem",-30.4744592689817,7.06644463210365,-4.31255898199963,1.72679149042686e-05,-44.336420374487,-16.6124981634763
"Bnv",-43.9962592622055,7.31434588326413,-6.01506408971891,2.29144698683665e-09,-58.3445183125048,-29.6480002119061
