"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",35.6322974025315,9.23856864986326,3.85690670849309,0.000120045308755996,17.5093677027595,53.7552271023035
"GRUMPYY_01_COM",0.000580893742660846,0.00820879519798696,0.0707647990539828,0.943595054616543,-0.0155219706653604,0.0166837581506821
"SEX_ASK_COMFemale",-0.536286682830952,0.283333098209929,-1.89277809835546,0.0585934897684796,-1.09208986134099,0.019516495679081
"AGE_NMBR_COM",0.407883189752062,0.155309157111329,2.62626619922791,0.00872688313737294,0.103219443371704,0.71254693613242
"I(AGE_NMBR_COM^2)",-0.00447945703682395,0.00119801674733284,-3.73906044869291,0.000192156876561864,-0.00682955845555227,-0.00212935561809563
"WGHTS_PROV_COMBritish Columbia",-0.390865472847568,0.489418200294892,-0.798632892303675,0.424638765584548,-1.35093753312982,0.569206587434685
"WGHTS_PROV_COMManitoba",0.234841539217514,0.563059048553004,0.417081547345753,0.676682706416873,-0.869688820460836,1.33937189889586
"WGHTS_PROV_COMNewfoundland and Labrador",-0.161773064459036,0.635285637721763,-0.25464618567355,0.799033782243653,-1.40798742818266,1.08444129926459
"WGHTS_PROV_COMNova Scotia",-0.0543045857825785,0.617273848034603,-0.0879748687806621,0.929909232187315,-1.2651859438601,1.15657677229494
"WGHTS_PROV_COMOntario",-0.495293833444613,0.483326578816813,-1.0247601831811,0.305653386883202,-1.44341620411705,0.452828537227825
"WGHTS_PROV_COMQuebec",-0.73925947152403,0.498749353431573,-1.48222642583426,0.138505104045492,-1.71763608078167,0.239117137733609
"Race7South Asian",1.27738024156889,1.20465424029804,1.06037085068729,0.289158814515795,-1.0857416809788,3.64050216411657
"Race7Black",0.798336807630042,1.33066584626973,0.599952880633428,0.548634729024971,-1.81197702991349,3.40865064517357
"Race7Asian",1.25953843998508,0.982841492716034,1.28152753960805,0.200220639466341,-0.668462309219209,3.18753918918938
"Race7Arab",1.44745045110287,1.61192432019926,0.89796427348645,0.369358995564369,-1.71459685768196,4.60949775988769
"Race7Latin American",0.71932423968018,1.96449955322127,0.366161569495231,0.714299840357693,-3.13435576721023,4.57300424657059
"Race7Other",0.221333533161611,1.51458514331108,0.146134757850422,0.883836046206111,-2.74976741513865,3.19243448146188
"CD4nv",-82.3467816080837,8.78878023137936,-9.36953472952637,2.81446527839376e-20,-99.5873794015948,-65.1061838145725
"CD8nv",-120.924859479962,10.2267906201952,-11.8243214289699,8.09905585423422e-31,-140.986344596147,-100.863374363777
"Mono",-21.4569528523876,8.86563782061104,-2.42023792157446,0.0156369597721136,-38.8483190970874,-4.06558660768781
"Treg",-48.3164469400684,15.2443106836056,-3.16947403807703,0.00156020493322847,-78.2205999870404,-18.4122938930964
"CD4mem",-32.1410445701083,8.15136342811284,-3.94302681429448,8.4437318653335e-05,-48.1312473778958,-16.1508417623207
"CD8mem",-58.5181666878862,8.14043175423839,-7.18858267651691,1.06160802681268e-12,-74.48692526934,-42.5494081064324
"NK",-43.7573610638571,9.05096289348722,-4.83455313857749,1.48163421127074e-06,-61.5122720734042,-26.00245005431
"Bmem",-28.6073168422749,9.53301574224326,-3.00086747108876,0.00273973809628557,-47.3078515973045,-9.90678208724535
"Bnv",-54.2831569592079,9.86744792884785,-5.50123571470887,4.47822354347481e-08,-73.639733925632,-34.9265799927839
