"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",10.8598536666748,4.38419002960634,2.47704903148323,0.0138646095627774,2.22801844580232,19.4916888875473
"income_trend",0.00360869381697226,0.0638462975933883,0.0565215831300758,0.954968418155278,-0.122095419500945,0.129312807134889
"SEX_ASK_COMFemale",0.372574300287423,0.215746174391971,1.72691034423871,0.085336013759307,-0.0521986713012038,0.797347271876051
"AGE_NMBR_COM",0.0914545806075465,0.142317597625072,0.642609080912669,0.521027150348491,-0.188748157739623,0.371657318954716
"I(AGE_NMBR_COM^2)",-0.000661677450374465,0.00113912621805841,-0.580864034103494,0.56182023356462,-0.00290445199793183,0.0015810970971829
"WGHTS_PROV_COMBritish Columbia",-5.47514609245253,0.331262388159729,-16.5281247981963,8.64444461309317e-43,-6.12735375912711,-4.82293842577796
"WGHTS_PROV_COMManitoba",-6.986167274754,0.454048581502736,-15.3863871826938,1.02081085943312e-38,-7.88012317341163,-6.09221137609638
"WGHTS_PROV_COMNewfoundland and Labrador",-10.2012667099293,0.436121024914749,-23.3909078607789,1.09291225292187e-66,-11.0599258460526,-9.34260757380605
"WGHTS_PROV_COMNova Scotia",-8.37136448132401,0.476254974428527,-17.5774846055289,1.57556713347836e-46,-9.30904155157569,-7.43368741107234
"WGHTS_PROV_COMOntario",-5.5995616085023,0.323007655400379,-17.3356931790408,1.14280046234721e-45,-6.23551690187876,-4.96360631512584
"WGHTS_PROV_COMQuebec",-4.52814178676661,0.468716171663299,-9.66073299902993,3.87140163639426e-19,-5.45097604619288,-3.60530752734034
"Race7South Asian",-0.24464503017931,0.875517200053751,-0.279429153606909,0.780131025267425,-1.96841159888852,1.4791215385299
"Race7Black",-1.2768872618119,1.25567490489885,-1.01689319172525,0.310121372831889,-3.74912929440574,1.19535477078194
"Race7Asian",-0.08760665526763,0.883246750757316,-0.0991870677050485,0.921063892647128,-1.82659158986746,1.6513782793322
"Race7Latin American",-1.56936030668626,1.25679595842007,-1.24869935821493,0.212864725290778,-4.04380953130499,0.905088917932478
"Race7Other",-2.4724735350775,1.26082653851979,-1.96099420462721,0.0509151658412812,-4.95485838817729,0.00991131802229717
