"term","estimate","std.error","statistic","p.value","conf.low","conf.high"
"(Intercept)",2.04750887696251,1.87912545269314,1.08960733517182,0.277002209078156,-1.65457508565234,5.74959283957736
"income_trend",0.0398159550204264,0.0267345711045915,1.48930592021311,0.137747640553283,-0.0128540925231514,0.0924860025640042
"SEX_ASK_COMFemale",0.0566929538226969,0.0917906463083917,0.617633235005492,0.537415167296517,-0.124144722091558,0.237530629736952
"AGE_NMBR_COM",-0.0449945441996786,0.0605229945184783,-0.743428915863397,0.457964640643455,-0.16423150469913,0.0742424162997727
"I(AGE_NMBR_COM^2)",0.000406599814597184,0.000482883941691091,0.842023889163191,0.400630663857093,-0.000544734697836118,0.00135793432703049
"WGHTS_PROV_COMBritish Columbia",-0.0959493031854899,0.210301670249332,-0.456246034906584,0.648634429973407,-0.510266739855488,0.318368133484508
"WGHTS_PROV_COMManitoba",-0.812925859581364,0.243340553221303,-3.34069208284433,0.000971956362273117,-1.29233353204054,-0.333518187122189
"WGHTS_PROV_COMNewfoundland and Labrador",-0.316709583617037,0.237685204418942,-1.33247496154118,0.183994763731247,-0.784975596495046,0.151556429260972
"WGHTS_PROV_COMNova Scotia",0.024456519945687,0.249896209465471,0.0978667103354611,0.922121554978864,-0.467866516844895,0.516779556736269
"WGHTS_PROV_COMOntario",0.460319235235012,0.208795066131128,2.20464613347674,0.0284485815695125,0.0489699744981426,0.871668495971881
"WGHTS_PROV_COMQuebec",0.759799369936847,0.247328748413959,3.07202205489333,0.00237672689577887,0.27253451399833,1.24706422587536
"Race7South Asian",0.355626876218237,0.404085830515241,0.880077571056586,0.379716390585217,-0.440466684499803,1.15172043693628
"Race7Black",-0.7562913957841,0.502350009718703,-1.5055068799692,0.133536714609368,-1.7459762047114,0.233393413143196
"Race7Asian",0.179836505572893,0.409283159237484,0.439393856096932,0.660779948002236,-0.626496364757753,0.986169375903539
"Race7Latin American",-0.0203504014422496,0.503053725768824,-0.0404537336666134,0.967765739343371,-1.01142160844087,0.97072080555637
"Race7Other",-0.526587035143081,0.504224384792988,-1.04435059276095,0.297396295307046,-1.51996456926469,0.466790498978528
